=================================
=  Cabo Verde

Hélio Varela,                 F,  1.76 m,  b. 3 May 2002 @ Almada

Benchimol,                    F,  1.77 m,  b. 29 Dec 2001 @ Praia
Logan Costa,                  D,  1.88 m,  b. 1 Apr 2001 @ Saint-Denis

Bryan Teixeira Jr,            F,  1.74 m,  b. 1 Sep 2000 @ Savigny-le-Temple
Kelvin Patrick,               M,  - ,      b. 8 Jul 2000 @ São Vicente
Luís Lopes,                   F,  1.82 m,  b. 16 Feb 2000 @ Lisbon
Kenny Rocha Santos,           M,  1.74 m,  b. 3 Jan 2000 @ São Vicente

Deroy Duarte,                 M,  1.77 m,  b. 4 Jul 1999 @ Rotterdam

Eynel Soares,                 F,  1.74 m,  b. 25 Oct 1998 @ São Vicente
Jovane Cabral,                F,  1.76 m,  b. 14 Jun 1998 @ Assomada
Papalelé,                     F,  1.78 m,  b. 16 May 1998 @ Mindelo
Nuno Borges,                  M,  1.84 m,  b. 31 Mar 1998 @ Cacém
Lorenzo Soares Fonseca,       D,  1.89 m,  b. 17 Jan 1998 @ Rotterdam

Willis Furtado,               F,  1.82 m,  b. 4 Sep 1997 @ Ivry-sur-Seine
Kevin Pina,                   M,  1.90 m,  b. 27 Jan 1997 @ Praia
Alessio Da Cruz,              F,  1.84 m,  b. 18 Jan 1997 @ Almere

João Correia,                 D,  1.75 m,  b. 5 Sep 1996 @ Setúbal
Dylan Tavares,                D,  1.73 m,  b. 30 Aug 1996 @ Geneva
Lisandro Semedo,              F,  1.75 m,  b. 12 Mar 1996 @ Setúbal
Vagner,                       F,  1.68 m,  b. 10 Jan 1996 @ Mindelo

Nenass,                       M,  1.70 m,  b. 5 Jul 1995
Bruno Leite,                  M,  1.84 m,  b. 26 Mar 1995 @ Lisbon
Carlos Ponck,                 D,  1.83 m,  b. 13 Jan 1995 @ Mindelo

Patrick,                      F,  1.90 m,  b. 13 Dec 1993 @ Nossa Senhora da Graça
Jamiro Monteiro,              M,  1.75 m,  b. 23 Nov 1993 @ Rotterdam

Roberto Lopes,                D,  1.86 m,  b. 17 Jun 1992 @ Crumlin
Steven Fortes,                D,  1.92 m,  b. 17 Apr 1992 @ Marseille

Ricardo Gomes,                F,  1.88 m,  b. 18 Dec 1991 @ Praia
Djaniny,                      F,  1.90 m,  b. 21 Mar 1991 @ Santa Cruz
Nuno Da Costa,                F,  1.82 m,  b. 10 Feb 1991 @ Praia
Zé Luís,                      F,  1.83 m,  b. 24 Jan 1991 @ Nossa Senhora da Conceição
Cuca,                         M,  1.77 m,  b. 9 Jan 1991 @ Lisbon

Garry Rodrigues,              M,  1.72 m,  b. 27 Nov 1990 @ Rotterdam
Bebé,                         M,  1.90 m,  b. 12 Jul 1990 @ Agualva-Cacém
Ryan Mendes,                  F,  1.75 m,  b. 8 Jan 1990 @ Mindelo

Jeffrey Fortes,               D,  1.82 m,  b. 22 Mar 1989 @ Rotterdam

Julio Tavares,                F,  1.87 m,  b. 19 Nov 1988 @ Tarrafal de São Nicolau
Cabral,                       M,  1.78 m,  b. 22 Oct 1988 @ Praia
Stopira,                      D,  1.80 m,  b. 20 May 1988 @ Praia

Fernando Varela,              D,  1.82 m,  b. 26 Nov 1987 @ Cascais

Marco Soares,                 M,  1.80 m,  b. 16 Jun 1984 @ Setúbal
