=================================
=  Congo DR

Onesime Tembe,                F,  - ,      b. 14 Sep 2004
Chris Lotefa,                 F,  - ,      b. 8 Aug 2004
Joseph Kayaya,                G,  1.91 m,  b. 3 Mar 2004 @ Kinshasa

Carmel Mabanza,               M,  1.88 m,  b. 13 Aug 2003 @ Kinshasa
Pépé Bonet,                   G,  1.93 m,  b. 13 Feb 2003 @ Kinshasa

John Nekadio,                 D,  1.95 m,  b. 6 Jan 2002 @ Kinshasa

Divin Baningime,              F,  1.70 m,  b. 10 Dec 2000 @ Kinshasa
Breston Malula,               M,  1.94 m,  b. 31 Oct 2000 @ Bern
Brian Bayeye,                 M,  1.82 m,  b. 30 Jun 2000 @ Paris
David Kabamba,                D,  1.77 m,  b. 23 May 2000 @ Kinshasa
Colet Kapanga,                F,  1.84 m,  b. 15 Apr 2000 @ Kinshasa
Michee Ngalina,               F,  1.80 m,  b. 6 Apr 2000 @ Kinshasa

Rocky Bushiri,                D,  1.87 m,  b. 30 Nov 1999 @ Duffel
Silas Wamangituka,            F,  1.85 m,  b. 6 Oct 1999 @ Kinshasa
Jackson Muleka,               F,  1.80 m,  b. 4 Oct 1999 @ Lubumbashi
Joy Mukena,                   D,  1.88 m,  b. 3 Jul 1999 @ Enfield
Nelson Balongo,               F,  1.87 m,  b. 15 Apr 1999 @ Tongeren

Randal Kolo Muani,            F,  1.87 m,  b. 5 Dec 1998 @ Bondy
Silas Katompa Mvumpa,         F,  1.85 m,  b. 6 Oct 1998 @ Kinshasa
Peter Kioso,                  D,  1.83 m,  b. 15 Aug 1998 @ Dublin
Dimitry Bertaud,              G,  1.80 m,  b. 6 Jun 1998 @ Montpellier
Edo Kayembe,                  M,  1.83 m,  b. 3 Jun 1998 @ Kananga
Glody Likonza,                M,  1.73 m,  b. 10 May 1998
Grady Diangana,               F,  1.80 m,  b. 19 Apr 1998 @ Lubumbashi
Beryly Lubala,                F,  1.79 m,  b. 8 Jan 1998

Aaron Leya Iseka,             F,  1.80 m,  b. 15 Nov 1997 @ Brussels
Christian Maghoma,            D,  1.85 m,  b. 8 Nov 1997 @ Lubumbashi
Gédéon Kalulu,                D,  1.79 m,  b. 29 Aug 1997 @ Lyon
Meschack Elia,                F,  1.73 m,  b. 6 Aug 1997 @ Kinshasa
Makabi Lilepo,                F,  1.85 m,  b. 27 Jul 1997
Baggio Siadi,                 G,  1.80 m,  b. 21 Jul 1997 @ Kinshasa
Charles Pickel,               M,  1.84 m,  b. 15 May 1997 @ Basel
Michee Efete,                 D,  1.80 m,  b. 11 Mar 1997 @ Ealing

Samuel Bastien,               M,  1.75 m,  b. 26 Sep 1996 @ Meux
Yoane Wissa,                  F,  1.76 m,  b. 3 Sep 1996 @ Villeneuve-Saint-Georges
Simon Banza,                  F,  1.89 m,  b. 13 Aug 1996 @ Creil
Samuel Moutoussamy,           M,  1.76 m,  b. 12 Aug 1996 @ Paris
Dylan Batubinsika,            D,  1.84 m,  b. 15 Feb 1996 @ Cergy-Pontoise
Luete Ava Dongo,              D,  1.90 m,  b. 27 Jan 1996 @ Kinshasa

Théo Bongonda,                F,  1.77 m,  b. 20 Nov 1995 @ Charleroi
David Tutonda,                D,  1.80 m,  b. 11 Oct 1995 @ Kinshasa
Merveille Biankadi,           M,  1.84 m,  b. 9 May 1995 @ Munich
Walter Bwalya,                F,  1.80 m,  b. 5 May 1995 @ Lubumbashi
Chadrac Akolo,                M|F,1.78 m,  b. 1 Apr 1995 @ Kinshasa
