=================================
=  Ghana

Ato Ampah,                    F,  - ,      b. 22 Apr 2006 @ Accra

Jalal Abdulai,                F,  - ,      b. 5 Jan 2005

Christopher Bonsu Baah,       F,  - ,      b. 14 Dec 2004
Ibrahim Osman,                F,  - ,      b. 14 Dec 2004
Stephen Bolma,                M,  - ,      b. 9 Dec 2004
Rockson Yeboah,               D,  1.89 m,  b. 2 Aug 2004 @ Berekum
Enock Otoo,                   M,  - ,      b. 28 Jun 2004
Kojo Peprah Oppong,           D,  1.80 m,  b. 4 Jun 2004 @ Accra
Raymond Asante,               F,  - ,      b. 27 May 2004
Frank Junior Adjei,           M,  - ,      b. 20 Mar 2004
Kingsley Gyamfi,              D,  - ,      b. 15 Mar 2004
Abdul Fatawu,                 F,  1.77 m,  b. 8 Mar 2004 @ Tamale
Abdul Fatawu Issahaku,        F,  1.77 m,  b. 8 Mar 2004 @ Tamale
Ali Fadal,                    M,  1.80 m,  b. 14 Jan 2004 @ Kumasi

Emmanuel Essiam,              M,  1.83 m,  b. 19 Dec 2003 @ Accra
Jonas Adjetey,                D,  1.88 m,  b. 13 Dec 2003
Lawrence Agyekum,             M,  1.74 m,  b. 23 Nov 2003
Mathew Anim Cudjoe,           M,  1.68 m,  b. 11 Nov 2003 @ Accra
Ernest Nuamah,                F,  1.78 m,  b. 1 Nov 2003 @ Kumasi
Prince Kwabena Adu,           F,  1.79 m,  b. 23 Sep 2003 @ Sunyani
Ibrahim Sulemana,             M,  1.80 m,  b. 22 May 2003 @ Sunyani
Emmanuel Yeboah,              F,  1.88 m,  b. 25 Feb 2003 @ Sunyani
Eugene Frimpong,              M,  1.74 m,  b. 2 Feb 2003 @ Kumasi
Felix Afena-Gyan,             F,  1.75 m,  b. 19 Jan 2003 @ Sunyani

Forson Amankwah,              M,  1.73 m,  b. 31 Dec 2002
Ibrahim Danlad,               G,  1.79 m,  b. 2 Dec 2002 @ Accra
Lasso Coulibaly,              M,  - ,      b. 19 Oct 2002
Kwaku Oduroh,                 D,  - ,      b. 16 Oct 2002 @ Manchester
Willy Kumado,                 D,  1.67 m,  b. 16 Oct 2002
Kaka Godwords,                D,  - ,      b. 7 Oct 2002
Philip Yeboah,                F,  1.82 m,  b. 27 Sep 2002 @ Drobo
Joseph Amoako,                F,  1.78 m,  b. 13 Sep 2002 @ Kumasi
Ebenezer Annan,               D,  1.78 m,  b. 21 Aug 2002
Nathaniel Adjei,              D,  1.86 m,  b. 21 Aug 2002 @ Teshie
Abraham Okyere,               M,  1.80 m,  b. 6 Jul 2002
Isaac Nuhu,                   M,  1.64 m,  b. 22 Jun 2002
Mohammed Fuseini,             F,  1.69 m,  b. 16 May 2002
Emmanuel Ogura,               G,  - ,      b. 13 May 2002
Raymond Owusu,                F,  1.78 m,  b. 20 Apr 2002 @ Kumasi
Haqi Osman,                   F,  1.73 m,  b. 11 Apr 2002 @ Koforidua
Lamarana Jallow,              M,  1.82 m,  b. 21 Mar 2002 @ Serrekunda
Issa Ouro Agouda,             F,  1.65 m,  b. 20 Mar 2002
Clinton Osei,                 F,  - ,      b. 17 Mar 2002
Jacob Aboosah,                M,  - ,      b. 16 Mar 2002 @ Accra
Kamaldeen Sulemana,           F,  1.74 m,  b. 15 Feb 2002 @ Techiman
Ahmed Ankrah,                 M,  1.82 m,  b. 5 Jan 2002 @ Drobo
Musah Mohammed,               D,  1.92 m,  b. 5 Jan 2002 @ Accra
Kofi Babil,                   F,  1.65 m,  b. 4 Jan 2002 @ Tarkwa

Abdul Zakaria Mugeese,        F,  1.74 m,  b. 27 Dec 2001
Joselpho Barnes,              F,  1.87 m,  b. 12 Dec 2001 @ Oberhausen
Enock Asante,                 F,  - ,      b. 25 Nov 2001 @ Akuapim-Mampong
Koffi,                        D,  1.74 m,  b. 20 Nov 2001 @ Accra
Kofi Amankwaa,                D,  - ,      b. 20 Nov 2001 @ Accra
Ransford Königsdörffer,       F,  1.82 m,  b. 13 Sep 2001 @ Berlin
Isaac Annan,                  M,  1.78 m,  b. 9 Sep 2001
Kwame Poku,                   M,  1.79 m,  b. 11 Aug 2001 @ Croydon
Emmanuel Addai,               F,  1.73 m,  b. 1 Aug 2001 @ Kumasi
Kelvin Ofori,                 M|F,1.72 m,  b. 27 Jul 2001 @ Kumasi
Maxwell Woledzi,              D|M,1.87 m,  b. 2 Jul 2001 @ Accra
Daniel Afriyie,               M|F,1.65 m,  b. 26 Jun 2001 @ Kumasi
Abu Francis,                  M|F,1.82 m,  b. 27 Apr 2001 @ Accra
Amadou Diambo,                M,  1.85 m,  b. 12 Feb 2001
Nathan Opoku,                 F,  1.83 m,  b. 9 Feb 2001 @ Accra
Torfiq Ali-Abubakar,          F,  1.80 m,  b. 8 Feb 2001 @ Hohoe
Philomon Baffour,             D,  - ,      b. 6 Feb 2001 @ Accra
Enyan Elimelech,              D,  1.82 m,  b. 31 Jan 2001 @ Giugliano in Campania
Godwin Bentil,                F,  1.85 m,  b. 30 Jan 2001 @ Accra
