=================================
=  Morocco

Benjamin Bouchouari,          M,  1.65 m,  b. 13 Nov 2011 @ Borgerhout

Adam Aznou,                   D,  1.78 m,  b. 2 Jun 2006 @ Barcelona
Mohamed-Amine Ezzarhouni,     G,  - ,      b. 29 May 2006

Gessime Yassine,              F,  1.76 m,  b. 22 Nov 2005 @ Salon-de-Provence
Othmane Maamma,               F,  1.77 m,  b. 6 Oct 2005 @ Alès
Ali Houary,                   F,  1.78 m,  b. 5 Aug 2005 @ Orihuela
Ayman Arguigue,               F,  - ,      b. 13 May 2005 @ Carcaixent
Yassin Tallal,                F,  1.73 m,  b. 3 Mar 2005 @ Madrid
Yassin Sabili,                F,  - ,      b. 31 Jan 2005
Rachad Fettal,                F,  1.84 m,  b. 16 Jan 2005 @ Torre-Pacheco
Ismail Oulad M'Hand,          M,  - ,      b. 11 Jan 2005 @ Den Haag

Abdellah Baallal,             F,  1.75 m,  b. 7 Nov 2004 @ Casablanca
Sami Tlemcani,                G,  - ,      b. 21 Jul 2004 @ Saint-Maurice
Ayoub Amraoui,                D,  1.84 m,  b. 14 May 2004 @ La Seyne-sur-Mer
Ayman El Wafi,                D,  1.89 m,  b. 11 May 2004 @ Tangier
Bilal El Khannouss,           M,  1.80 m,  b. 10 May 2004 @ Strombeek-Bever
Ilias Akhomach,               F,  1.75 m,  b. 16 Apr 2004 @ Els Hostalets de Pierola
Elias Mago,                   G,  - ,      b. 23 Mar 2004
Omar Sadik,                   F,  - ,      b. 22 Mar 2004
Camil Mmaee,                  F,  1.84 m,  b. 21 Feb 2004 @ Geraardsbergen
Abde Raihani,                 F,  1.87 m,  b. 3 Feb 2004 @ Barcelona
Mehdi Boukamir,               D,  1.88 m,  b. 26 Jan 2004

Omar El Hilali,               D,  1.83 m,  b. 12 Sep 2003 @ L'Hospitalet de Llobregat
Achrif Laâziri,               D,  1.77 m,  b. 8 Jul 2003 @ Hay Hassani
Chadi Riad,                   D,  1.86 m,  b. 17 Jun 2003 @ Palma de Mallorca
Reda Ergouai,                 D,  1.86 m,  b. 14 Jun 2003 @ Montpellier
Oussama El Goumiri,           D,  - ,      b. 28 Apr 2003
Anas Nanah,                   D,  1.77 m,  b. 12 Mar 2003
Mohamed Essahel,              M,  1.73 m,  b. 17 Feb 2003
Marvel,                       D,  1.84 m,  b. 7 Jan 2003 @ Casablanca

Younes Taha,                  M,  1.76 m,  b. 27 Nov 2002 @ Drachten
Kays Ruiz,                    M,  1.78 m,  b. 26 Aug 2002 @ Lyon
Kays Ruiz-Atil,               M,  1.78 m,  b. 26 Aug 2002 @ Lyon
Haitam Abaida,                F,  1.72 m,  b. 1 Jun 2002 @ Polinyà
Oussama Targhalline,          M,  1.86 m,  b. 20 May 2002 @ Sidi Belyout
