=================================
=  Nigeria

Efe Lucky,                    M,  - ,      b. 14 Jan 2006

Daniel Job,                   M,  - ,      b. 26 Aug 2005
Benjamin Fredrick,            D,  1.88 m,  b. 28 May 2005
Victor Eletu,                 M,  1.79 m,  b. 1 Apr 2005 @ Lagos
Alvin Obinna Okoro,           F,  1.85 m,  b. 26 Mar 2005
Wilfred George Igor,          M,  - ,      b. 20 Feb 2005

Ebenezer Akinsanmiro,         M,  1.84 m,  b. 25 Nov 2004
Emmanuel Ayaosi,              M,  1.72 m,  b. 28 Oct 2004
Paul Adeniran,                F,  - ,      b. 17 Sep 2004
Victor Arong,                 F,  1.75 m,  b. 9 Sep 2004 @ Cross River
Mustapha Isah,                F,  - ,      b. 23 Jul 2004
Segun Otusanya,               F,  - ,      b. 27 Jun 2004
Ferdinand Okoh,               M,  - ,      b. 3 Jun 2004 @ Redbridge
Bolu Ogungbayi,               F,  1.77 m,  b. 16 May 2004
Samson Lawal,                 M,  - ,      b. 25 Apr 2004
Chijioke Aniagboso,           G,  1.93 m,  b. 15 Apr 2004
Eghosa Bello,                 F,  2.00 m,  b. 17 Mar 2004 @ Benin City
Philip Baloteli,              F,  - ,      b. 15 Feb 2004
Lucky Ezeh,                   F,  - ,      b. 23 Jan 2004
David Moses,                  M,  1.71 m,  b. 20 Jan 2004
Moses Amasi,                  M,  1.74 m,  b. 10 Jan 2004
Abuchi Onuoha,                D,  - ,      b. 3 Jan 2004
Mark Ugboh,                   G,  - ,      b. 3 Jan 2004
Nuhu Shaibu,                  M,  1.85 m,  b. 1 Jan 2004 @ Lokoja

Silas Nwankwo,                F,  - ,      b. 12 Dec 2003
Hamzat Ojediran,              M,  1.75 m,  b. 14 Nov 2003
Solomon Agbalaka,             D,  1.85 m,  b. 9 Nov 2003
Adrian Akande,                F,  - ,      b. 22 Oct 2003
Chinwike Okoli,               D,  - ,      b. 22 Oct 2003 @ Lambeth
Daniel Francis,               M,  1.76 m,  b. 27 Sep 2003
Clinton Nosakhare,            D,  - ,      b. 22 Sep 2003
Jonathan Okoronkwo,           F,  1.75 m,  b. 13 Sep 2003 @ Calabar
Monsuru Opeyemi,              M,  1.71 m,  b. 11 Aug 2003
Moses Barnabas,               M,  - ,      b. 6 May 2003 @ Lagos
Chidera Okoh,                 F,  1.93 m,  b. 5 Apr 2003
Michael Ologo,                D,  1.89 m,  b. 5 Apr 2003 @ Ologoama
Tunde Akinsola,               F,  - ,      b. 10 Mar 2003 @ Lagos
Salim Fago Lawal,             F,  1.84 m,  b. 15 Jan 2003 @ Lagos
Rafiu Durosinmi,              F,  1.90 m,  b. 1 Jan 2003 @ Lagos

Christopher Nwaeze,           D,  1.85 m,  b. 16 Nov 2002 @ Kaduna
Uba Charles,                  M,  1.76 m,  b. 10 Oct 2002 @ Owerri
Isaiah Ejeh,                  D,  1.84 m,  b. 19 Sep 2002 @ Abuja
Moses Cobnan,                 F,  1.78 m,  b. 10 Sep 2002
Peter Olawale,                F,  1.85 m,  b. 26 Jul 2002
Gift Orban,                   F,  1.78 m,  b. 17 Jul 2002 @ Benue
Daniel Jinadu,                G,  1.86 m,  b. 21 Jun 2002
Timipere Johnson Eboh,        M,  - ,      b. 19 Jun 2002
Ibrahim Said,                 M,  1.73 m,  b. 15 Jun 2002 @ Kano
Peter Ambrose,                F,  - ,      b. 10 Jun 2002
Akinkunmi Amoo,               M,  1.63 m,  b. 7 Jun 2002 @ Lagos
David Ankeye,                 F,  1.91 m,  b. 22 May 2002 @ Abuja
Emmanuel Adeyemo,             D,  - ,      b. 21 May 2002 @ Lagos
Friday Etim,                  F,  1.86 m,  b. 21 May 2002 @ Lagos
Samson Tijani,                M,  1.75 m,  b. 17 May 2002 @ Enugu
Goteh Ntignee,                F,  1.75 m,  b. 10 May 2002 @ Kpomassè
Ishaq Abdulrazak,             M,  1.75 m,  b. 5 May 2002 @ Kaduna
Olakunle Olusegun,            F,  1.67 m,  b. 23 Apr 2002 @ Ilorin
Orji Nelson Chukwuma,         D,  - ,      b. 5 Apr 2002
Zishim Bawa,                  F,  1.87 m,  b. 16 Mar 2002 @ Dublin
Azeez Temitope Yusuf,         F,  1.82 m,  b. 9 Mar 2002
Yusuf Abdulazeez,             F,  1.82 m,  b. 9 Mar 2002 @ Akure
