=================================
=  Senegal

Ibrahima Sow,                 F,  1.84 m,  b. 26 Jan 2007 @ Dakar

Yoro Ba,                      F,  - ,      b. 31 Dec 2005 @ Tenghori
Mame Mor Faye,                F,  1.82 m,  b. 12 Jul 2005 @ Saint-Louis
Ibrahima Ba,                  D,  1.86 m,  b. 26 May 2005
Ibou Sané,                    F,  1.80 m,  b. 28 Mar 2005 @ Diégoune
Serigne Deme,                 F,  - ,      b. 4 Feb 2005
Moctar Diop,                  F,  1.93 m,  b. 6 Jan 2005 @ Saint-Louis
Arona Fall,                   F,  1.75 m,  b. 5 Jan 2005 @ Boujne

El Hadji Malick Diouf,        D,  - ,      b. 28 Dec 2004
Abdoulaye Faye,               D,  1.84 m,  b. 22 Sep 2004 @ Kaolack
Fallou Sene,                  F,  1.87 m,  b. 21 Aug 2004 @ Khombole
Nobel Mendy,                  D,  1.87 m,  b. 16 Aug 2004 @ Guédiawaye
Mikayil Faye,                 D,  1.86 m,  b. 14 Jul 2004 @ Sédhiou
Amadou Sarr,                  F,  1.90 m,  b. 28 Jun 2004 @ Gossas
Papa Amadou Diallo,           M,  1.82 m,  b. 25 Jun 2004 @ Saint-Louis
Assane N'Doye,                D,  1.75 m,  b. 11 Jun 2004 @ Thiaroye
Sadibou Sané,                 D,  1.85 m,  b. 10 Jun 2004 @ Diouloulou
Fallou Fall,                  D,  1.92 m,  b. 15 Apr 2004 @ Rufisque
Malick Mbaye,                 F,  1.78 m,  b. 6 Apr 2004 @ Dakar
Sérigné Faye,                 F,  1.86 m,  b. 5 Apr 2004 @ Dakar
Madiodio Dia,                 D,  - ,      b. 15 Jan 2004
Baye Ablaye Mbaye,            D,  - ,      b. 12 Jan 2004 @ Méckhé
Sekou Matar Sagna,            M,  1.71 m,  b. 6 Jan 2004 @ Coubalan
Habib Diarra,                 M,  1.79 m,  b. 3 Jan 2004 @ Guédiawaye
Assane Seck,                  F,  1.75 m,  b. 1 Jan 2004 @ Dakar
Lamine Camara,                M,  1.73 m,  b. 1 Jan 2004 @ Bignona

Samba Dida,                   M,  1.92 m,  b. 24 Dec 2003 @ Louga
Aliou Thiare,                 D,  1.97 m,  b. 20 Dec 2003 @ Diouloulou
Cheikh Diouf,                 F,  1.82 m,  b. 17 Dec 2003 @ Hann Bel-Air
Souleymane Basse,             D,  1.82 m,  b. 6 Nov 2003 @ Thiès
Pathé Mboup,                  F,  1.75 m,  b. 19 Oct 2003 @ Mbao
Pape Demba Diop,              M,  1.82 m,  b. 4 Sep 2003 @ Ouakam
Ibrahima Diallo,              F,  1.73 m,  b. 4 Jun 2003 @ Diouloulou
Oumar Diouf,                  F,  1.76 m,  b. 15 May 2003 @ Dakar
Ibrahima Cissoko,             M,  1.78 m,  b. 18 Apr 2003 @ Thiaroye
Modou Tambedou,               M,  - ,      b. 4 Apr 2003
Pape Youssou Niang,           M,  1.90 m,  b. 23 Mar 2003 @ Guédiawaye
Pape Massar Djitte,           M,  1.75 m,  b. 8 Feb 2003 @ Meckhe
Racine Ba,                    M,  - ,      b. 21 Jan 2003
Djibril Soumaré,              M,  1.85 m,  b. 7 Jan 2003 @ Dakar
Samba Diallo,                 M,  1.68 m,  b. 5 Jan 2003

Ibrahima Sy,                  M,  1.80 m,  b. 16 Dec 2002
Aliou Baldé,                  F,  1.70 m,  b. 12 Dec 2002 @ Ziguinchor
Mamadou Fall,                 D,  1.88 m,  b. 21 Nov 2002 @ Rufisque
Mamadou Camara,               M,  1.85 m,  b. 15 Oct 2002 @ Dakar
Pape Matar Sarr,              M,  1.84 m,  b. 14 Sep 2002 @ Thiaroye
Mamina Badji,                 F,  1.82 m,  b. 23 Aug 2002
Moussa N'Diaye,               D,  1.81 m,  b. 18 Jun 2002 @ Dakar
Ousmane Ba,                   G,  1.85 m,  b. 6 Jun 2002 @ Rufisque
Pape Samba Thiam,             F,  1.88 m,  b. 8 May 2002
Arouna Sanganté,              D,  1.89 m,  b. 12 Apr 2002 @ Mboa
Abdoulaye Ndiaye,             D,  1.85 m,  b. 10 Apr 2002 @ Boune
Bassirou N'Diaye,             F,  1.81 m,  b. 15 Feb 2002
Dion Lopy,                    M,  1.84 m,  b. 2 Feb 2002 @ Dakar
Maissa Ndiaye,                D,  1.88 m,  b. 28 Jan 2002 @ Dakar
Amadou Mbengue,               M,  - ,      b. 5 Jan 2002

Youssouph Badji,              F,  1.92 m,  b. 20 Dec 2001 @ Thionck Essyl
Lamine Tall,                  F,  1.80 m,  b. 5 Dec 2001 @ Saint-Louis
Laurent Mendy,                M,  1.83 m,  b. 27 Nov 2001
Alpha Dionkou,                D,  1.83 m,  b. 10 Oct 2001 @ Sindone
Massamba Ndiaye,              G,  2.02 m,  b. 8 Oct 2001 @ Thiès
Ibrahima Dramé,               F,  1.67 m,  b. 6 Oct 2001 @ Sédhiou
Nicolas Jackson,              M|F,1.86 m,  b. 20 Jun 2001 @ Dakar
Abdallah Sima,                F,  1.88 m,  b. 17 Jun 2001 @ Dakar
Kaly Sène,                    F,  1.80 m,  b. 28 May 2001 @ Dakar
Mamadou Diatta,               M,  1.88 m,  b. 5 Apr 2001 @ Camaracounda
Mamadou Danfa,                M,  1.90 m,  b. 6 Mar 2001
Alioune Ndour,                F,  1.88 m,  b. 3 Mar 2001 @ Dakar
Demba Seck,                   F,  1.90 m,  b. 10 Feb 2001 @ Guediawaye
Sambou Soumano,               F,  1.82 m,  b. 3 Jan 2001 @ Dakar
Formose Mendy,                D,  1.91 m,  b. 2 Jan 2001 @ Dakar
Mamadou Diaw,                 F,  - ,      b. 2 Jan 2001

Ibrahima Sarr,                D,  1.90 m,  b. 24 Nov 2000 @ Guédiawaye
Mor Ndiaye,                   M,  1.85 m,  b. 22 Nov 2000 @ Thiès
Lamine Diack,                 M,  1.86 m,  b. 15 Nov 2000 @ Dakar
Issa Soumaré,                 F,  1.82 m,  b. 10 Oct 2000 @ Podor
Babacar Sy,                   F,  1.84 m,  b. 2 Oct 2000
Mouhamed Diop,                M,  1.82 m,  b. 30 Sep 2000 @ Thiaroye
Adama Sane,                   F,  1.78 m,  b. 11 Jun 2000
Kane Sarr,                    G,  1.90 m,  b. 21 Apr 2000 @ Dakar
Khadim Ndiaye,                G,  1.85 m,  b. 12 Apr 2000 @ Dakar
Bamba Dieng,                  F,  1.78 m,  b. 23 Mar 2000 @ Diourbel
Moustapha Mbow,               D,  1.92 m,  b. 8 Mar 2000 @ Dakar
Iliman Ndiaye,                M,  1.80 m,  b. 6 Mar 2000 @ Rouen
Cheikh Niasse,                M,  1.88 m,  b. 19 Jan 2000 @ Gossas
