=================================
=  Tunisia

Elies Araar Fernandez,        D,  1.76 m,  b. 7 Oct 2006 @ Nice
Louey Ben Farhat,             M,  1.75 m,  b. 19 Jul 2006

Anas Haj Mohamed,             F,  1.74 m,  b. 26 Mar 2005 @ Chieti

Rami Zouaoui,                 M,  1.84 m,  b. 31 Jul 2004 @ Kassel
Chaïm El Djebali,             M,  1.70 m,  b. 7 Feb 2004 @ Décines-Charpieu

Samy Chouchane,               M,  - ,      b. 5 Sep 2003 @ Paris
Hannibal Mejbri,              M,  1.84 m,  b. 21 Jan 2003 @ Ivry-sur-Seine

Elias Damergy,                G,  1.87 m,  b. 17 Oct 2002 @ Mantes-la-Jolie
Motez Nourani,                M,  1.76 m,  b. 11 Jan 2002 @ Sousse

Omar Rekik,                   D,  1.86 m,  b. 20 Dec 2001 @ Den Haag
Nabil Makni,                  F,  1.84 m,  b. 29 Sep 2001 @ Cannes
Amine Cherni,                 D,  1.83 m,  b. 7 Jul 2001 @ Paris
Ramzi Ferjani,                D,  1.91 m,  b. 11 Apr 2001 @ Sensweiler
Anis Slimane,                 M,  1.88 m,  b. 16 Mar 2001 @ Copenhagen

Idris El Mizouni,             M,  1.85 m,  b. 26 Sep 2000 @ Paris
Mohamed Ben Fredj,            F,  1.87 m,  b. 9 May 2000 @ Toulon
Hadj Mahmoud,                 M,  1.79 m,  b. 24 Apr 2000 @ Sousse
Sayfallah Ltaief,             M,  1.78 m,  b. 22 Apr 2000 @ Zürich
Omar Jebali,                  D,  - ,      b. 19 Feb 2000

Mohamed Ali Ben Romdhane,     M,  1.86 m,  b. 6 Sep 1999 @ Tunis
Moataz Zemzemi,               M,  1.83 m,  b. 7 Aug 1999 @ Tunis
Maroine Mihoubi,              D,  1.87 m,  b. 26 Jul 1999 @ Aubagne
Hamza Rafia,                  M,  1.78 m,  b. 2 Apr 1999 @ Kalaat es Senam
Yan Valery,                   D,  1.80 m,  b. 22 Feb 1999 @ Champigny-sur-Marne
Elias Achouri,                M,  1.77 m,  b. 10 Feb 1999 @ Saint-Denis

Montassar Talbi,              D,  1.90 m,  b. 26 May 1998 @ Paris

Bassem Srarfi,                M,  1.76 m,  b. 25 Jun 1997 @ Tunis
Wajdi Sahli,                  F,  1.83 m,  b. 17 Apr 1997 @ La Seyne-sur-Mer
Nassim Hnid,                  D,  1.90 m,  b. 12 Mar 1997 @ Zarzis
Adel Bettaieb,                F,  1.84 m,  b. 28 Jan 1997 @ Villiers-le-Bel
Aymen Dahmen,                 G,  1.88 m,  b. 28 Jan 1997 @ Sfax

Aïssa Laïdouni,               M,  1.83 m,  b. 13 Dec 1996 @ Montfermeil
Manoubi Haddad,               M,  1.68 m,  b. 23 Aug 1996
Mohamed Dräger,               D|M,1.80 m,  b. 25 Jun 1996 @ Freiburg im Breisgau
