=================================
=  Japan

Keita Kosugi,                 D,  1.68 m,  b. 18 Mar 2006

Taichi Fukui,                 M,  1.72 m,  b. 15 Jul 2004 @ Kanagawa
Leon Suzuki,                  D,  - ,      b. 1 Jun 2004
Shio Fukuda,                  F,  1.78 m,  b. 8 Apr 2004 @ Kanoya
Anrie Chase,                  D,  1.88 m,  b. 24 Mar 2004 @ Yokosuka

Kodai Sano,                   M,  1.76 m,  b. 25 Sep 2003 @ Tsuyama
Lucien Littbarski,            M,  1.82 m,  b. 8 May 2003 @ Yokohama

Shunsuke Mito,                M,  1.64 m,  b. 28 Sep 2002 @ Yamaguchi
Zion Suzuki,                  G,  1.90 m,  b. 21 Aug 2002 @ Little Rock
Satoshi Tanaka,               M,  1.72 m,  b. 13 Aug 2002 @ Nagano
Joel Chima Fujita,            M,  1.72 m,  b. 16 Feb 2002 @ Tokyo
Yamato Wakatsuki,             F,  1.70 m,  b. 18 Jan 2002 @ Gunma

Rihito Yamamoto,              M,  1.76 m,  b. 12 Dec 2001 @ Kanagawa
Yuito Suzuki,                 F,  1.75 m,  b. 25 Oct 2001 @ Kanagawa
Yutaro Oda,                   F,  1.81 m,  b. 12 Aug 2001 @ Sumoto
Koki Saito,                   F,  1.70 m,  b. 10 Aug 2001 @ Kanagawa
Kein Sato,                    F,  1.78 m,  b. 11 Jul 2001
Takefusa Kubo,                M,  1.70 m,  b. 4 Jun 2001 @ Kawasaki
Shuhei Kawasaki,              F,  1.68 m,  b. 28 Apr 2001 @ Kishiwada
Takashi Uchino,               D,  1.77 m,  b. 7 Mar 2001 @ Chiba
Koki Hinokio,                 M,  1.66 m,  b. 26 Feb 2001 @ Osaka
Leo Kokubo,                   G,  1.93 m,  b. 23 Jan 2001 @ Chiba

Haruya Fujii,                 D,  1.86 m,  b. 26 Dec 2000 @ Aichi
Soichiro Kozuki,              F,  1.81 m,  b. 22 Dec 2000 @ Uji
Shion Homma,                  M,  1.64 m,  b. 9 Aug 2000 @ Murakami
Keito Nakamura,               M|F,1.80 m,  b. 28 Jul 2000 @ Abiko
Yuki Kobayashi,               D,  1.85 m,  b. 18 Jul 2000 @ Kobe
Yukinari Sugawara,            D,  1.79 m,  b. 28 Jun 2000 @ Toyokawa
Daisuke Yokota,               M,  1.69 m,  b. 15 Jun 2000 @ Itabashi
Ayumu Seko,                   D,  1.83 m,  b. 7 Jun 2000 @ Osaka
Riku Danzaki,                 M,  1.74 m,  b. 31 May 2000 @ Miyagi
Toichi Suzuki,                M,  1.65 m,  b. 30 May 2000 @ Higashiosaka
Kaito Mizuta,                 M,  1.82 m,  b. 8 Apr 2000 @ Tokyo

Takuya Ogiwara,               D,  1.75 m,  b. 23 Nov 1999 @ Saitama
Shuto Machino,                F,  1.84 m,  b. 30 Sep 1999 @ Mie
Kanji Okunuki,                F,  1.70 m,  b. 11 Aug 1999 @ Tochigi
Keisuke Osako,                G,  1.86 m,  b. 28 Jul 1999 @ Izumi
Masaki Watai,                 M,  1.68 m,  b. 18 Jul 1999 @ Shizuoka
Kanya Fujimoto,               M,  1.76 m,  b. 1 Jul 1999 @ Yamanashi
Ryotaro Tsunoda,              D,  1.81 m,  b. 27 Jun 1999 @ Saitama
Atsushi Zaizen,               M,  1.77 m,  b. 26 Jun 1999 @ Fukuoka
Daiki Hashioka,               D,  1.82 m,  b. 17 May 1999 @ Saitama
Hiroki Ito,                   D|M,1.86 m,  b. 12 May 1999 @ Shizuoka
Taichi Hara,                  F,  1.87 m,  b. 5 May 1999 @ Tokyo
Kyosuke Tagawa,               F,  1.81 m,  b. 11 Feb 1999 @ Kagoshima
Hiroki Abe,                   F,  1.71 m,  b. 28 Jan 1999 @ Tokyo
Mitsuki Saito,                M,  1.65 m,  b. 10 Jan 1999 @ Kanagawa

Hikaru Matsui,                D,  1.81 m,  b. 2 Dec 1998 @ Aichi
Takehiro Tomiyasu,            D,  1.85 m,  b. 5 Nov 1998 @ Fukuoka
Keigo Tsunemoto,              D,  1.72 m,  b. 21 Oct 1998 @ Kanagawa
Kota Watanabe,                M,  1.65 m,  b. 18 Oct 1998 @ Kawasaki
Ao Tanaka,                    M,  1.78 m,  b. 10 Sep 1998 @ Kawasaki
Daiki Suga,                   F,  1.71 m,  b. 10 Sep 1998 @ Otaru
Daiki Sugioka,                D,  1.82 m,  b. 8 Sep 1998 @ Tokyo
Ayase Ueda,                   F,  1.82 m,  b. 28 Aug 1998 @ Mito
Taishi Matsumoto,             M,  1.78 m,  b. 22 Aug 1998 @ Saitama
Teruki Hara,                  M,  1.78 m,  b. 30 Jul 1998 @ Saitama
Yugo Tatsuta,                 D,  1.89 m,  b. 21 Jun 1998 @ Shizuoka
Ryotaro Meshino,              M,  1.71 m,  b. 18 Jun 1998 @ Osaka
Ritsu Doan,                   M,  1.72 m,  b. 16 Jun 1998 @ Amagasaki
Takuto Oshima,                M,  1.74 m,  b. 1 Jun 1998 @ Hirakata
Haruki Arai,                  M,  1.70 m,  b. 12 Apr 1998 @ Saitama
Ryotaro Ito,                  M,  1.74 m,  b. 6 Feb 1998 @ Osaka
Takahiro Akimoto,             M,  1.70 m,  b. 31 Jan 1998 @ Utsunomiya

Shuto Abe,                    M,  1.71 m,  b. 5 Dec 1997 @ Tokyo
Keita Endo,                   M,  1.75 m,  b. 22 Nov 1997 @ Yokohama
Reo Hatate,                   M|F,1.71 m,  b. 21 Nov 1997 @ Suzuka
Daizen Maeda,                 F,  1.73 m,  b. 20 Oct 1997 @ Osaka
Takahiro Kunimoto,            M,  1.73 m,  b. 8 Oct 1997 @ Kitakyushu
Koki Machida,                 D,  1.87 m,  b. 25 Aug 1997 @ Ibaraki
Koki Ogawa,                   F,  1.83 m,  b. 8 Aug 1997 @ Kanagawa
Takuro Kaneko,                M,  1.78 m,  b. 30 Jul 1997 @ Saitama
Yusuke Matsuo,                M,  1.70 m,  b. 23 Jul 1997 @ Saitama
Tatsuya Ito,                  M|F,1.63 m,  b. 26 Jun 1997 @ Taitō
