=================================
=  Albania

Flavio Sulejmani,             F,  - ,      b. 20 Mar 2006

Elton Fikaj,                  D,  1.88 m,  b. 18 Oct 2005 @ Athens
Maldini Kacurri,              D,  - ,      b. 4 Oct 2005
Luis Buzi,                    F,  1.84 m,  b. 24 Jul 2005 @ Bolzano
Zylyf Muça,                   D,  1.85 m,  b. 7 Mar 2005 @ Brescia

Simon Simoni,                 G,  1.92 m,  b. 14 Jul 2004 @ Lezhë
Endri Muhameti,               M,  1.81 m,  b. 12 Jul 2004
Ermis Selimaj,                D,  1.73 m,  b. 25 May 2004 @ Athens
Mikel Dyzeni,                 G,  1.86 m,  b. 28 Apr 2004
Argjend Miftari,              M,  - ,      b. 29 Jan 2004

Steven Bala,                  M,  - ,      b. 19 Nov 2003 @ Lambeth
Etienne Tare,                 F,  1.92 m,  b. 13 Sep 2003 @ Brescia
Leandro Frroku,               M,  1.79 m,  b. 3 Sep 2003 @ Vari
Asan Mata,                    M,  1.73 m,  b. 18 Aug 2003
Mario Mitaj,                  D,  1.85 m,  b. 6 Aug 2003 @ Athens
Dejvid Janaqi,                M,  - ,      b. 21 Jul 2003
Albi Hanxhari,                M,  1.84 m,  b. 22 May 2003
Stiven Shpendi,               F,  1.81 m,  b. 19 May 2003 @ Ancona
Armando Perlleshi,            G,  - ,      b. 29 Jan 2003
Eljon Toçi,                   F,  1.83 m,  b. 9 Jan 2003 @ Dibër

Adrion Pajaziti,              M,  - ,      b. 16 Nov 2002 @ Camden
Nikolas Smajlaj,              D,  1.85 m,  b. 30 Sep 2002 @ Pescia
Elmando Gjini,                D,  1.97 m,  b. 28 Aug 2002 @ Shkoder
Leo Gaxha,                    F,  1.77 m,  b. 27 Jul 2002 @ Tralee
Elvir Zukaj,                  D,  1.94 m,  b. 7 Jul 2002 @ Sursee
Alessandro Arapi,             M,  1.80 m,  b. 17 Jun 2002 @ Pontedera
Kristjan Asllani,             M,  1.75 m,  b. 9 Mar 2002 @ Elbasan

Angelo Ndrecka,               D,  1.74 m,  b. 24 Sep 2001 @ Desenzano del Garda
Brijan Ibrahimi,              F,  1.93 m,  b. 22 Sep 2001
Kevin Haveri,                 D,  1.91 m,  b. 18 Sep 2001 @ Shkodër
Armando Broja,                F,  1.86 m,  b. 10 Sep 2001 @ Slough
Redi Kasa,                    M,  1.77 m,  b. 1 Sep 2001 @ Parma
Marvin Çuni,                  F,  1.75 m,  b. 10 Jul 2001 @ Freising
Silvio Vokrri,                D,  1.80 m,  b. 25 May 2001 @ Mirditë
Emiliano Shoti,               M,  1.80 m,  b. 27 Apr 2001 @ Rome
Armando Dobra,                M,  1.70 m,  b. 14 Apr 2001 @ Redbridge
Emiliano Bullari,             F,  1.90 m,  b. 6 Apr 2001 @ Naxos
Ernest Muçi,                  F,  1.80 m,  b. 19 Mar 2001 @ Tirana
Kleis Bozhanaj,               M,  1.80 m,  b. 1 Mar 2001 @ Tirana
Cristian Shiba,               D,  1.83 m,  b. 31 Jan 2001 @ San Benedetto del Tronto
Anis Mehmeti,                 M,  1.80 m,  b. 9 Jan 2001 @ Islington
Bernard Karrica,              M,  1.84 m,  b. 7 Jan 2001 @ Gjakova

Jurgen Çelhaka,               M,  1.83 m,  b. 6 Dec 2000 @ Tirana
Masimiliano Doda,             D,  1.80 m,  b. 17 Nov 2000 @ Mirdite
Indrit Tuci,                  F,  1.91 m,  b. 14 Sep 2000 @ Lezhë
Jorgo Pëllumbi,               D,  1.86 m,  b. 15 Jul 2000 @ Korçë
Erdis Kraja,                  M,  1.81 m,  b. 7 Jul 2000 @ Chiari
Marco Alia,                   G,  1.85 m,  b. 26 Apr 2000 @ Genzano
Lundrim Hetemi,               M,  - ,      b. 18 Feb 2000
Dean Lico,                    F,  1.89 m,  b. 8 Feb 2000 @ Korçë
Marash Kumbulla,              D,  1.91 m,  b. 8 Feb 2000 @ Peschiera del Garda
Sergio Kalaj,                 D,  1.93 m,  b. 28 Jan 2000 @ Marino

