=================================
=  Austria

Jovan Zivković,               F,  1.75 m,  b. 23 May 2006
Paul Piffer,                  G,  - ,      b. 8 Apr 2006
Michael Morgenstern,          F,  - ,      b. 25 Feb 2006
Leon Grgić,                   F,  1.89 m,  b. 22 Jan 2006 @ Bruck an der Mur

Harald Postl,                 G,  - ,      b. 29 Sep 2005
Matthias Postl,               F,  - ,      b. 29 Sep 2005
Lind Hajdari,                 M,  - ,      b. 11 Aug 2005
Enes Koç,                     M,  - ,      b. 22 May 2005
Matthias Dollinger,           D,  1.76 m,  b. 13 Apr 2005 @ Graz
Luca Pazourek,                D,  - ,      b. 4 Feb 2005
Tobias Gruber,                D,  - ,      b. 10 Jan 2005
Simon Nesler-Täubl,           G,  - ,      b. 4 Jan 2005

Jannik Robatsch,              D,  - ,      b. 28 Dec 2004
Maximilian Fillafer,          M,  1.88 m,  b. 26 Dec 2004
Yannick Vötter,               F,  - ,      b. 17 Dec 2004
Damian Maksimović,            F,  1.82 m,  b. 18 Nov 2004 @ Bregenz
Laurenz Orgler,               G,  1.87 m,  b. 13 Oct 2004 @ Vienna
Moritz Wels,                  M,  1.86 m,  b. 25 Sep 2004
Damjan Kovačević,             D,  - ,      b. 28 Aug 2004 @ Rottenmann
Nicolas Bajlicz,              M,  1.73 m,  b. 8 Jul 2004 @ Vienna
Matteo Bignetti,              G,  1.90 m,  b. 6 May 2004 @ Bruck an der Mur
Lukas Jungwirth,              G,  1.93 m,  b. 30 Apr 2004 @ Linz
Dijon Kameri,                 M,  1.81 m,  b. 20 Apr 2004 @ Burgenland
Paul Schermer,                G,  1.86 m,  b. 4 Apr 2004
Samson Baidoo,                D,  1.86 m,  b. 31 Mar 2004 @ Graz
Aaron Sky Schwarz,            F,  1.80 m,  b. 20 Mar 2004
Ziad El Sheiwi,               D,  1.77 m,  b. 11 Mar 2004
Luca Wimhofer,                D,  1.93 m,  b. 27 Feb 2004
Nikolas Sattlberger,          M,  1.91 m,  b. 18 Jan 2004 @ Vienna

Leopold Querfeld,             D,  1.90 m,  b. 20 Dec 2003 @ Vienna
Justin Omoregie,              M,  1.91 m,  b. 21 Sep 2003
Onurhan Babuscu,              F,  1.72 m,  b. 5 Sep 2003 @ Baden bei Wien
Fabian Wilfinger,             M,  - ,      b. 27 Aug 2003
Lukas Ibertsberger,           D,  1.81 m,  b. 6 Aug 2003
Florian Wustinger,            M,  1.76 m,  b. 21 Jul 2003 @ Vienna
Lukas Wallner,                D,  1.92 m,  b. 26 Apr 2003 @ St Johann im Pongau
Jürgen Lemmerer,              F,  - ,      b. 6 Mar 2003
Muharem Huskovic,             F,  1.76 m,  b. 5 Mar 2003
David Jaunegg,                D,  1.89 m,  b. 28 Feb 2003 @ Hall in Tirol
Justin Forst,                 F,  1.80 m,  b. 21 Feb 2003 @ Innsbruck
Pascal Müller,                M,  1.76 m,  b. 15 Feb 2003
Raphael Hofer,                M,  1.84 m,  b. 14 Feb 2003
Adis Jašić,                   M,  1.80 m,  b. 12 Feb 2003 @ Sankt Veit an der Glan
Romeo Vučić,                  F,  1.88 m,  b. 30 Jan 2003 @ Vienna
Julian Halwachs,              M,  1.88 m,  b. 25 Jan 2003
Nikolas Veratschnig,          M,  1.80 m,  b. 24 Jan 2003 @ Villach
Ervin Omić,                   M,  1.85 m,  b. 20 Jan 2003 @ Ried im Innkreis
Namory Cissé,                 F,  1.88 m,  b. 5 Jan 2003

Manuel Polster,               M,  1.82 m,  b. 23 Dec 2002 @ Vienna
Sam Schutti,                  D,  - ,      b. 6 Nov 2002
Thomas Geris,                 M,  1.75 m,  b. 16 Oct 2002 @ Innsbruck
Simon Seidl,                  M,  - ,      b. 4 Sep 2002
Luka Marić,                   G,  1.94 m,  b. 19 Jul 2002
Nikolas Polster,              G,  1.88 m,  b. 7 Jul 2002
Kevin Radulović,              G,  - ,      b. 27 Jun 2002
Maximilian Sellinger,         M,  - ,      b. 6 May 2002
Alexander Briedl,             M,  1.80 m,  b. 21 Apr 2002 @ Salzburg
Leo Mätzler,                  D,  1.86 m,  b. 17 Apr 2002 @ Dornbirn
Elias Havel,                  F,  1.84 m,  b. 16 Apr 2002
Matthias Braunöder,           M,  1.72 m,  b. 27 Mar 2002 @ Eisenstadt
Raul Marte,                   D,  1.72 m,  b. 23 Mar 2002 @ Rankweil
