=================================
=  Belgium

Julien Duranville,            F,  1.70 m,  b. 5 May 2006 @ Uccle
Madi Monamay,                 D,  1.85 m,  b. 6 Apr 2006
Matt Lendfers,                G,  1.87 m,  b. 10 Mar 2006

Frederic Soelle Soelle,       F,  1.90 m,  b. 24 Dec 2005
Lars Montegnies,              M,  - ,      b. 15 Nov 2005
Ebbe De Vlaeminck,            G,  - ,      b. 4 Nov 2005
Mohamed Cissé,                M,  1.78 m,  b. 23 Oct 2005 @ Conakry
Jannes van Hof,               G,  - ,      b. 11 Oct 2005
Roméo Monticelli,             D,  - ,      b. 2 Oct 2005
Vincent Burlet,               D,  1.80 m,  b. 23 Sep 2005 @ Liège
Adam Nhaili,                  F,  - ,      b. 9 Aug 2005
Mike Penders,                 G,  2.00 m,  b. 31 Jul 2005 @ Maasmechelen
Ilias El Hari,                F,  - ,      b. 6 Jul 2005
Samuel Ntanda,                F,  1.84 m,  b. 30 Jun 2005 @ Brussels
Stanis Idumbo Muzambo,        M,  1.70 m,  b. 29 Jun 2005 @ Melun
Mika Godts,                   F,  1.76 m,  b. 7 Jun 2005 @ Leuven
Tom Poitoux,                  G,  1.86 m,  b. 4 Jun 2005
Joseph Nonge,                 M,  1.84 m,  b. 15 May 2005 @ Brussels
Kobe Corbanie,                D,  - ,      b. 10 May 2005
Chemsdine Talbi,              M,  1.75 m,  b. 9 May 2005 @ Sambrevile
Irsan Muric,                  F,  - ,      b. 12 Apr 2005
Karol Youndje,                D,  - ,      b. 12 Apr 2005 @ Yaoundé
Malick Fofana,                F,  1.69 m,  b. 31 Mar 2005 @ Aalst
Oskar Annell,                 G,  1.90 m,  b. 15 Feb 2005
Arthur Vermeeren,             M,  1.76 m,  b. 7 Feb 2005 @ Lier
Matias Fernandez-Pardo,       F,  - ,      b. 3 Feb 2005
Ayanda Shishuba,              M,  1.69 m,  b. 2 Feb 2005 @ Tournai
Arthur Piedfort,              D,  1.80 m,  b. 1 Feb 2005 @ Herentals
Cihan Çanak,                  M,  1.75 m,  b. 24 Jan 2005 @ Verviers
Lucas Noubi,                  D,  1.80 m,  b. 15 Jan 2005 @ Mouscron
Matthieu Epolo,               G,  1.81 m,  b. 15 Jan 2005
Siemen Buvé,                  G,  - ,      b. 15 Jan 2005
Enock Agyei,                  F,  1.72 m,  b. 13 Jan 2005
Noah Mbamba,                  M,  1.82 m,  b. 5 Jan 2005 @ Elsene

Noah Sadiki,                  D,  1.83 m,  b. 17 Dec 2004 @ Brussels
Andrea Librici,               F,  1.81 m,  b. 9 Dec 2004
Lucas Stassin,                F,  1.83 m,  b. 29 Nov 2004
Norman Bassette,              F,  - ,      b. 11 Nov 2004 @ Arlon
Chris Lokesa,                 M,  - ,      b. 7 Nov 2004
Ngal'ayel Mukau,              M,  - ,      b. 3 Nov 2004
Corneille Ngangala,           D,  - ,      b. 29 Oct 2004
Mario Stroeykens,             M,  1.77 m,  b. 29 Sep 2004
Bilal Bafdili,                M,  - ,      b. 3 Aug 2004
Mathias Delorge-Knieper,      M,  1.85 m,  b. 31 Jul 2004
Nicolas Closset,              G,  - ,      b. 10 Jul 2004
Thomas Lutte,                 M,  - ,      b. 9 Jul 2004
Dirk Asare,                   M,  - ,      b. 4 Jul 2004
Pierre Dwomoh,                M,  1.85 m,  b. 21 Jun 2004
Mattéo Nkurunziza,            G,  - ,      b. 2 Jun 2004
Léandre Kuavita,              M,  1.80 m,  b. 31 May 2004
Kjell Peersman,               G,  1.94 m,  b. 21 May 2004 @ Wilrijk
Niels Devalckeneer,           G,  1.93 m,  b. 17 May 2004
Arnaud Dony,                  D,  1.70 m,  b. 8 May 2004
Tristan Teuchy,               D,  - ,      b. 14 Apr 2004
Martin Wasinski,              D,  1.85 m,  b. 7 Apr 2004
Lukas Mondele,                M,  1.79 m,  b. 29 Mar 2004 @ Brussels
Milan Govaers,                M,  1.87 m,  b. 23 Mar 2004 @ Wilrijk
Martin Delavallée,            G,  1.80 m,  b. 18 Mar 2004
Jelle Van Neck,               G,  1.91 m,  b. 7 Mar 2004 @ Bruges
Milan Robberechts,            F,  1.80 m,  b. 4 Mar 2004
Massimo Decoene,              M,  - ,      b. 11 Feb 2004
Sekou Diawara,                F,  1.87 m,  b. 8 Feb 2004 @ Deinze
Richie Sagrado,               D,  - ,      b. 30 Jan 2004
Timon Vanhoutte,              G,  - ,      b. 29 Jan 2004
Jack Senga-Ngoyi,             D,  - ,      b. 27 Jan 2004
Mehdi Boukamir,               D,  - ,      b. 26 Jan 2004
Romeo Vermant,                F,  1.81 m,  b. 24 Jan 2004 @ Gelsenkirchen
Nathan Huygevelde,            M,  1.85 m,  b. 23 Jan 2004
Bram Lagae,                   D,  - ,      b. 14 Jan 2004
Luca Chavet,                  D,  - ,      b. 11 Jan 2004
Romeo Lavia,                  M,  1.81 m,  b. 6 Jan 2004 @ Brussels
Alouis Diriken,               D,  - ,      b. 4 Jan 2004
Matte Smets,                  M,  1.84 m,  b. 4 Jan 2004

Cisse Sandra,                 M,  1.86 m,  b. 16 Dec 2003
Djovkar Doudaev,              D,  - ,      b. 10 Nov 2003
Noam Mayoka-Tika,             M,  1.83 m,  b. 2 Nov 2003 @ Charleroi
Zeno Debast,                  D,  1.91 m,  b. 24 Oct 2003 @ Halle
Lynnt Audoor,                 M,  1.82 m,  b. 13 Oct 2003 @ Merelbeke
Arne Engels,                  M,  1.85 m,  b. 8 Sep 2003 @ Opwijk
Anthony Descotte,             F,  1.79 m,  b. 3 Aug 2003 @ Gosselies
Manuel Osifo,                 D,  1.85 m,  b. 31 Jul 2003
Ismaël El Abbassi,            F,  - ,      b. 24 Jul 2003
Fedde Leysen,                 D,  1.87 m,  b. 9 Jul 2003
Zeno Van Den Bosch,           D,  1.91 m,  b. 6 Jul 2003 @ Brasschaat
Nathan Ngoy,                  D,  1.83 m,  b. 10 Jun 2003
Alexandro Calut,              D,  1.80 m,  b. 22 Apr 2003 @ Charleroi
Johan Bakayoko,               F,  1.79 m,  b. 20 Apr 2003 @ Overijse
Tuur Rommens,                 D,  1.85 m,  b. 26 Mar 2003 @ Turnhout
Luca Oyen,                    M,  1.72 m,  b. 14 Mar 2003 @ Nottingham
Bas Langenbick,               G,  - ,      b. 13 Feb 2003
Nils de Wilde,                M,  - ,      b. 27 Jan 2003
Noah Dodeigne,                D,  - ,      b. 21 Jan 2003
Ilay Camara,                  D,  1.74 m,  b. 18 Jan 2003 @ Bonheiden
Vic Chambaere,                G,  1.90 m,  b. 10 Jan 2003 @ Roeselare
Kazeem Olaigbe,               M,  - ,      b. 2 Jan 2003

Youssuf Sylla,                F,  1.91 m,  b. 19 Dec 2002
Aster Vranckx,                M,  1.83 m,  b. 4 Oct 2002 @ Erps-Kwerps
Fabio Ferraro,                M,  1.80 m,  b. 3 Sep 2002 @ Halle
Joël Schingtienne,            D,  1.88 m,  b. 14 Aug 2002
Marco Kana,                   D,  1.78 m,  b. 8 Aug 2002 @ Kinshasa
Nayel Mehssatou,              D,  1.68 m,  b. 8 Aug 2002 @ Brussels
Christiaan Ravych,            D,  1.87 m,  b. 30 Jul 2002 @ Kortrijk
Rein Van Helden,              D,  1.87 m,  b. 24 Jul 2002 @ Genk
Sada Diallo,                  M,  - ,      b. 22 Jul 2002
Samuel Asoma,                 M,  1.73 m,  b. 15 Jul 2002 @ Berekum
Hugo Siquet,                  D,  1.75 m,  b. 9 Jul 2002 @ Marche-en-Famenne
Senne Lammens,                G,  1.93 m,  b. 7 Jul 2002 @ Zottegem
Xander Blomme,                M,  1.74 m,  b. 21 Jun 2002 @ Eeklo
Dion De Neve,                 M,  1.82 m,  b. 12 Jun 2002 @ Aalst
Koni De Winter,               D,  1.88 m,  b. 12 Jun 2002 @ Antwerp
Thibo Baeten,                 F,  1.85 m,  b. 4 Jun 2002 @ Aalst
Jérémy Doku,                  F,  1.79 m,  b. 27 May 2002 @ Borgerhout
Mandela Keita,                M,  1.81 m,  b. 10 May 2002 @ Leuven
Killian Sardella,             D,  1.77 m,  b. 2 May 2002
Anouar Ait El Hadj,           M,  1.67 m,  b. 20 Apr 2002 @ Molenbeek
Ibe Hautekiet,                D,  1.88 m,  b. 13 Apr 2002 @ Kortrijk
Célestin De Schrevel,         G,  1.87 m,  b. 2 Apr 2002
Ignace Van Der Brempt,        D,  1.91 m,  b. 1 Apr 2002 @ Antwerp
Rune Paeshuyse,               D,  1.87 m,  b. 28 Mar 2002 @ Edegem
Robert-Jan Vanwesemael,       D,  - ,      b. 26 Mar 2002
Mats Lemmens,                 D,  1.86 m,  b. 10 Mar 2002 @ Genk
Tobe Leysen,                  G,  1.87 m,  b. 9 Mar 2002 @ Geel
Ameen Al-Dakhil,              D,  1.87 m,  b. 6 Mar 2002 @ Baghdad
Olivier Dumont,               M,  1.82 m,  b. 6 Mar 2002 @ Visé
Allan Delferrière,            D,  1.83 m,  b. 3 Mar 2002 @ Liège
Maarten Vandevoordt,          G,  1.87 m,  b. 26 Feb 2002 @ Sint-Truiden
Eliot Matazo,                 M,  1.83 m,  b. 15 Feb 2002 @ Woluwe-Saint-Lambert
Jarne Steuckers,              F,  1.79 m,  b. 4 Feb 2002 @ Sint-Truiden
Ken Nkuba,                    F,  1.73 m,  b. 21 Jan 2002 @ Mons
Jannes Van Hecke,             M,  1.75 m,  b. 15 Jan 2002
Louis Fortin,                 G,  1.88 m,  b. 12 Jan 2002
Bas Van Den Eynden,           M,  - ,      b. 7 Jan 2002
Nicolas Alavoine,             G,  1.84 m,  b. 5 Jan 2002

Matisse Samoise,              M,  1.73 m,  b. 21 Nov 2001
Maxime Wenssens,              G,  1.91 m,  b. 17 Nov 2001
Niklo Dailly,                 F,  1.73 m,  b. 6 Nov 2001 @ Brussels
Dylan Mbayo,                  F,  1.75 m,  b. 11 Oct 2001
Joachim Imbrechts,            G,  1.83 m,  b. 9 Oct 2001 @ Ixelles
Bryan Limbombe,               F,  1.72 m,  b. 14 Sep 2001 @ Mechelen
Amadou Onana,                 M,  1.92 m,  b. 16 Aug 2001 @ Dakar
Lucas Lissens,                D,  1.83 m,  b. 25 Jul 2001 @ Sint-Martens-Lennik
Stan Van Dessel,              M,  1.69 m,  b. 24 Jul 2001 @ Diest
Laurit Krasniqi,              D,  - ,      b. 14 Jul 2001
Oregan Ravet,                 G,  1.89 m,  b. 13 Jul 2001
Yari Verschaeren,             M,  1.72 m,  b. 12 Jul 2001 @ Antwerp
Damjan Pavlović,              D,  1.79 m,  b. 9 Jul 2001 @ Eupen
Adnan Uğur,                   M,  1.84 m,  b. 28 Jun 2001 @ Diest
Jackson Tchatchoua,           M,  1.78 m,  b. 23 Jun 2001 @ Ixelles
David Mindombe,               D,  1.83 m,  b. 19 Jun 2001
Louis Patris,                 D,  1.87 m,  b. 7 Jun 2001
Maxime Delanghe,              G,  1.89 m,  b. 23 May 2001 @ Halle
Michel-Ange Balikwisha,       F,  1.78 m,  b. 10 May 2001 @ Gent
Nick Shinton,                 G,  1.96 m,  b. 10 May 2001 @ Aalst
Mitchy Ntelo,                 F,  1.83 m,  b. 4 May 2001 @ Liège
Thomas Van Den Keybus,        M,  1.79 m,  b. 25 Apr 2001 @ Bruges
Nachon Nsingi,                F,  1.76 m,  b. 24 Apr 2001
Kyan Vaesen,                  F,  1.90 m,  b. 13 Apr 2001 @ Dewsbury
Tom Roufosse,                 G,  1.81 m,  b. 28 Mar 2001 @ Rocourt
Théo Gécé,                    M,  - ,      b. 14 Mar 2001
Charles De Ketelaere,         F,  1.85 m,  b. 10 Mar 2001 @ Bruges
Largie Ramazani,              F,  1.67 m,  b. 27 Feb 2001 @ Sint-Agatha-Berchem
Nicolas Raskin,               M,  1.79 m,  b. 23 Feb 2001 @ Liège
