=================================
=  Czech Republic

Josh King,                    F,  - ,      b. 30 Mar 2007

Djordjije Medenica,           G,  - ,      b. 17 Nov 2006
Pavel Kačor,                  M,  1.80 m,  b. 12 Sep 2006

Jan Buryán,                   F,  1.76 m,  b. 11 Oct 2005 @ Mladá Boleslav
Albert Kotlín,                G,  1.90 m,  b. 8 Sep 2005
Thomas Jungbauer,             D,  - ,      b. 30 Jul 2005
Štěpán Míšek,                 M,  - ,      b. 20 Jul 2005
Jan Paluska,                  D,  1.83 m,  b. 23 Jun 2005 @ Karlovy Vary
Jonáš Bzura,                  M,  1.79 m,  b. 22 Jun 2005
Vojtěch Werani,               M,  1.80 m,  b. 24 Apr 2005 @ Jablonec nad Nisou
Matouš Krulich,               F,  1.88 m,  b. 19 Apr 2005
Viktor Baier,                 G,  - ,      b. 16 Jan 2005

Tom Slončík,                  M,  - ,      b. 21 Dec 2004
Tomáš Král,                   D,  1.85 m,  b. 26 Oct 2004 @ Mladá Boleslav
Ondřej Čoudek,                D,  - ,      b. 25 Oct 2004
Michal Trnovec,               F,  1.79 m,  b. 25 Sep 2004
Mikuláš Kubný,                G,  - ,      b. 12 Sep 2004
Milan Lexa,                   M,  1.80 m,  b. 21 Aug 2004
Marek Švach,                  M,  - ,      b. 16 Aug 2004
Samuel Grygar,                M,  1.85 m,  b. 9 Aug 2004
Filip Brdička,                F,  - ,      b. 6 Aug 2004
Alexandr Bužek,               M,  1.80 m,  b. 2 Aug 2004 @ Zlín
Matyáš Hanč,                  D,  - ,      b. 27 Jul 2004
Kryštof Karban,               D,  1.88 m,  b. 4 Jul 2004
David Nykrín,                 D|M,1.75 m,  b. 28 Jun 2004
Ondřej Sedláček,              D,  - ,      b. 20 Jun 2004
Šimon Polášek,                D,  1.75 m,  b. 18 Jun 2004
Lukáš Ambros,                 M,  1.82 m,  b. 5 Jun 2004 @ Dolní Němčí
Matěj Šín,                    M,  1.80 m,  b. 2 Jun 2004 @ Ostrava
Radek Charvát,                G,  1.85 m,  b. 17 May 2004
Albert Labik,                 D,  1.78 m,  b. 13 May 2004
Daniel Kutík,                 D,  1.84 m,  b. 12 May 2004 @ Hradec Králové
Lukáš Mašek,                  M,  1.82 m,  b. 8 May 2004 @ Mladá Boleslav
Jakub Hudák,                  M,  1.81 m,  b. 5 May 2004
Vojtěch Hora,                 M,  - ,      b. 5 May 2004
Daniel Macej,                 D,  1.87 m,  b. 29 Apr 2004
Daniel Holásek,               D,  1.85 m,  b. 22 Apr 2004 @ Brno
Alexandr Urban,               G,  - ,      b. 20 Apr 2004
Matyáš Korselt,               M,  1.70 m,  b. 7 Apr 2004
Ondřej Kukučka,               D,  1.90 m,  b. 23 Mar 2004
Martin Hrubý,                 G,  1.92 m,  b. 22 Mar 2004
Patrik Měkota,                D,  1.88 m,  b. 21 Mar 2004 @ Bezděkov nad Metují
Vojtěch Myška,                G,  1.86 m,  b. 16 Mar 2004
Ondřej Kričfaluši,            D,  1.77 m,  b. 9 Mar 2004
Radim Šudák,                  M,  1.79 m,  b. 2 Mar 2004
Matyáš Vojta,                 F,  1.89 m,  b. 26 Feb 2004 @ Prague
Colin Andrew,                 G,  - ,      b. 25 Feb 2004 @ Prague
Lucas Kubr,                   D,  1.79 m,  b. 25 Feb 2004 @ Tongeren
Seydil Toure,                 D,  - ,      b. 24 Feb 2004
Daniel Samek,                 M,  1.84 m,  b. 19 Feb 2004 @ Hradec Králové
David Jurčenko,               F,  1.81 m,  b. 28 Jan 2004
Tadeáš Vachoušek,             F,  1.83 m,  b. 11 Jan 2004
Lukáš Fila,                   M,  1.83 m,  b. 7 Jan 2004

Tadeáš Stoppen,               G,  1.89 m,  b. 30 Dec 2003
Matěj Hadaš,                  F,  1.84 m,  b. 25 Nov 2003
Radek Vítek,                  G,  1.98 m,  b. 24 Oct 2003 @ Vsetín
Filip Uriča,                  M,  1.80 m,  b. 10 Sep 2003
Michal Černák,                M,  1.74 m,  b. 1 Sep 2003
Matěj Jurásek,                M,  1.81 m,  b. 30 Aug 2003 @ Karviná
Denis Kramář,                 F,  1.85 m,  b. 8 Aug 2003
Matěj Náprstek,               F,  1.84 m,  b. 27 Jul 2003 @ Litoměřice
Maxmilián Jiří Kytka,         M,  1.72 m,  b. 17 Jul 2003
Denis Halinský,               D,  - ,      b. 13 Jul 2003
Adam Kadlec,                  D,  - ,      b. 6 Jul 2003
Filip Nalezinek,              G,  1.97 m,  b. 4 Jul 2003 @ Pardubice
Adam Karabec,                 M,  1.81 m,  b. 2 Jul 2003 @ Samotišky
David Krch,                   M,  - ,      b. 30 Jun 2003
Patrik Vydra,                 D,  1.90 m,  b. 20 Jun 2003 @ Beroun
Lukáš Endl,                   D,  1.91 m,  b. 17 Jun 2003 @ Brno
Jakub Drozd,                  M,  1.84 m,  b. 13 Jun 2003
Daniel Hais,                  F,  1.92 m,  b. 2 Jun 2003
Oldřich Pragr,                M,  1.75 m,  b. 25 May 2003 @ Znojmo
Ota Kohoutek,                 M,  1.72 m,  b. 23 May 2003 @ Brno
Karel Spáčil,                 D,  1.89 m,  b. 18 May 2003
Adam Číž,                     M,  1.75 m,  b. 16 May 2003
Marek Beránek,                M,  1.80 m,  b. 16 May 2003
Patrik Kulíšek,               D,  1.88 m,  b. 14 May 2003
Filip Horsky,                 F,  1.85 m,  b. 9 May 2003 @ Prague
Petr Juliš,                   F,  1.88 m,  b. 17 Apr 2003 @ Chrudim
Denis Alijagić,               F,  1.84 m,  b. 10 Apr 2003 @ Prague
David Jambor,                 M,  1.80 m,  b. 31 Mar 2003 @ Nové Město na Moravě
Krystof Obadal,               D,  1.82 m,  b. 22 Mar 2003
Denis Višinský,               M,  1.78 m,  b. 21 Mar 2003 @ Hořín
Tomáš Rataj,                  F,  1.87 m,  b. 21 Mar 2003
Daniel Langhamer,             M,  - ,      b. 20 Mar 2003
Antonín Kinský,               G,  1.90 m,  b. 13 Mar 2003
Vojtěch Stránský,             F,  1.81 m,  b. 13 Mar 2003 @ Ostrava
Dalibor Večerka,              D,  1.85 m,  b. 12 Mar 2003
Daniel Kaštánek,              M,  1.95 m,  b. 12 Mar 2003
Štěpán Chaloupek,             D,  1.90 m,  b. 8 Mar 2003
Filip Prebsl,                 D,  1.86 m,  b. 4 Mar 2003 @ Prague
Filip Vecheta,                F,  - ,      b. 15 Feb 2003
Dominik Mareš,                M,  - ,      b. 3 Feb 2003
Martin Kudela,                M,  - ,      b. 29 Jan 2003
Jáchym Šíp,                   M,  1.76 m,  b. 22 Jan 2003 @ Kroměříž
Martin Vitík,                 D,  1.92 m,  b. 21 Jan 2003
Kryštof Daněk,                M,  1.83 m,  b. 5 Jan 2003 @ Samotišky

Ladislav Dufek,               M,  1.72 m,  b. 23 Dec 2002
Adam Čičovský,                M,  1.70 m,  b. 8 Dec 2002 @ Ústí nad Labem
