=================================
=  Denmark

Mikkel Kristensen,            D,  - ,      b. 5 Jul 2006
Lucas Høgsberg,               D,  - ,      b. 23 Jun 2006
Oscar Schwartau,              F,  - ,      b. 17 May 2006
Laurits Pedersen,             M,  - ,      b. 25 Jan 2006
Jonathan Asp Jensen,          M,  - ,      b. 14 Jan 2006
Anders Noshe,                 F,  - ,      b. 9 Jan 2006
Tobias Slotsager,             D,  - ,      b. 1 Jan 2006 @ Morud

Kasper Kiilerich,             G,  1.98 m,  b. 22 Nov 2005
Sabil Hansen,                 D,  - ,      b. 14 Nov 2005
Andreas Tomaselli,            D,  - ,      b. 13 Oct 2005
Thomas Jørgensen,             M,  1.84 m,  b. 30 Sep 2005
Adam Daghim,                  M,  - ,      b. 28 Sep 2005
Viggo Andersen,               G,  - ,      b. 20 Aug 2005
Andreas Dithmer,              G,  1.98 m,  b. 1 Aug 2005 @ Copenhagen
Markus Jensen,                F,  - ,      b. 15 Jul 2005
Aske Andresen,                G,  1.94 m,  b. 12 Jul 2005 @ Aarhus
Marius Holst Papuga,          M,  - ,      b. 13 May 2005
Oskar Boesen,                 M,  - ,      b. 5 May 2005
Julius Beck,                  M,  1.78 m,  b. 27 Apr 2005 @ Haderslev
Gustav Fraulo,                M,  1.83 m,  b. 23 Apr 2005 @ Odense
Conrad Harder,                F,  - ,      b. 7 Apr 2005
Anders Ravn,                  G,  1.93 m,  b. 2 Apr 2005
Bertram Kvist,                M,  1.72 m,  b. 19 Mar 2005
Zidan Sertdemir,              M,  1.82 m,  b. 4 Feb 2005 @ Ishøj
Villads Nielsen,              D,  1.82 m,  b. 29 Jan 2005
Theo Sander,                  G,  1.89 m,  b. 8 Jan 2005
Magnus Munck,                 M,  - ,      b. 5 Jan 2005
Valdemar Byskov,              M,  1.80 m,  b. 5 Jan 2005 @ Herning
Emil Højlund,                 F,  - ,      b. 4 Jan 2005
Oscar Højlund,                M,  - ,      b. 4 Jan 2005

Jeppe Corfitzen,              F,  1.79 m,  b. 29 Dec 2004
Jakob Vester,                 M,  - ,      b. 28 Dec 2004 @ Viby
Oliver Amby,                  M,  - ,      b. 9 Dec 2004
Alexander Lyng,               F,  1.77 m,  b. 26 Nov 2004 @ Copenhagen
Patrick Dorgu,                D,  1.75 m,  b. 26 Oct 2004 @ Copenhagen
Max Ejdum,                    M,  - ,      b. 15 Oct 2004
Oliver Ross,                  F,  - ,      b. 10 Oct 2004
Lauge Sandgrav,               M,  1.84 m,  b. 16 Sep 2004 @ Virum
Gustav Christensen,           F,  1.78 m,  b. 7 Sep 2004 @ Ikast
Magnus Bøttker,               F,  - ,      b. 11 Aug 2004
Magnus Nielsen,               G,  - ,      b. 4 Aug 2004
Filip Versterre,              G,  - ,      b. 29 Jul 2004
Sanders Ngabo,                M,  1.74 m,  b. 4 Jul 2004 @ Sundby
Tobias Storm,                 D|M,- ,      b. 4 Jul 2004
Filip Bundgaard,              F,  1.76 m,  b. 3 Jul 2004 @ Randers
William Clem,                 M,  - ,      b. 20 Jun 2004 @ Vedbæk
Tobias Lauritsen,             M,  - ,      b. 18 Jun 2004 @ Randers
Silas Andersen,               M,  1.85 m,  b. 13 Jun 2004
Asbjørn Bøndergaard,          F,  - ,      b. 5 May 2004
Jeffrey Adjei-Broni,          F,  - ,      b. 15 Apr 2004
Mathias Sauer,                M,  - ,      b. 2 Apr 2004 @ Rønde
Kaare Barslund,               D,  1.82 m,  b. 23 Mar 2004 @ Helsinge
Mikkel Fischer,               D,  - ,      b. 23 Mar 2004
Charly Horneman,              F,  - ,      b. 21 Mar 2004
Charly Nouck,                 F,  1.84 m,  b. 21 Mar 2004 @ Odense
William Kaastrup,             D,  1.78 m,  b. 21 Mar 2004 @ Kokkedal
Gustav Mortensen,             D,  - ,      b. 19 Mar 2004
Jeppe Kjær,                   F,  1.74 m,  b. 1 Mar 2004 @ Horsens
Pontus Texel,                 D,  1.82 m,  b. 27 Feb 2004 @ Copenhagen
Jonathan Hutters,             G,  - ,      b. 21 Feb 2004
Jacob Andersen,               D,  - ,      b. 26 Jan 2004
Mads Enggård,                 M,  - ,      b. 20 Jan 2004
Johan Meyer,                  D,  1.92 m,  b. 5 Jan 2004

Marinus Larsen,               M,  - ,      b. 30 Dec 2003
Isak Jensen,                  F,  1.85 m,  b. 23 Dec 2003 @ Odense
Oscar Fraulo,                 M,  1.80 m,  b. 6 Dec 2003 @ Odense
Henrik Meister,               F,  1.91 m,  b. 17 Nov 2003
Jakob Breum,                  F,  1.78 m,  b. 17 Nov 2003 @ Odense
Aske Adelgaard,               D,  - ,      b. 10 Nov 2003
Tammer Bany,                  F,  1.77 m,  b. 19 Oct 2003
Mathias Andreasen,            F,  - ,      b. 8 Oct 2003
Victor Bak,                   D,  1.79 m,  b. 3 Oct 2003 @ Copenhagen
Lucas Ziegler,                G,  1.84 m,  b. 28 Sep 2003 @ Kalundborg
Adam Vendelbo,                F,  - ,      b. 19 Sep 2003
Anders Hoff,                  G,  1.88 m,  b. 4 Sep 2003 @ Horsens
William Osula,                F,  - ,      b. 4 Aug 2003
Wahid Faghir,                 F,  1.85 m,  b. 29 Jul 2003 @ Vejle
Alexander Busch,              D,  - ,      b. 25 Jul 2003
Marcus Baggesen,              D,  1.77 m,  b. 17 Jul 2003 @ Hjørring
Victor Lind,                  F,  1.76 m,  b. 12 Jul 2003 @ Løgumkloster
Zean Dalügge,                 F,  1.85 m,  b. 11 Jul 2003 @ Tønder
Tobias Haahr Jakobsen,        G,  - ,      b. 3 Jul 2003
Maurits Kjærgaard,            M,  1.89 m,  b. 26 Jun 2003 @ Herlev
Frederik Ihler,               F,  - ,      b. 25 Jun 2003
Elias Jelert,                 D,  - ,      b. 12 Jun 2003
Oliver Provstgaard,           D,  - ,      b. 4 Jun 2003
Tobias Bach,                  M,  1.94 m,  b. 4 Jun 2003 @ Brendstrup
Sofus Berger,                 M,  - ,      b. 2 Jun 2003
Andreas Nibe,                 M,  - ,      b. 31 May 2003
Valdemar Lund,                D,  1.93 m,  b. 28 May 2003 @ Sundby
Valdemar Lund Jensen,         D,  - ,      b. 28 May 2003 @ Sundby
Jeppe Kilden Grøn,            M,  - ,      b. 28 Apr 2003
Lucas Hey,                    D,  - ,      b. 13 Apr 2003
Tochi Chukwuani,              M,  1.79 m,  b. 24 Mar 2003 @ Hvidovre
Victor Dedes,                 D,  - ,      b. 20 Mar 2003
Andreas Bredahl,              F,  - ,      b. 13 Mar 2003
Christian Wagner,             F,  1.86 m,  b. 13 Mar 2003
Christian Gammelgaard,        F,  - ,      b. 10 Mar 2003
William Bøving,               M|F,1.78 m,  b. 1 Mar 2003 @ Copenhagen
Jeppe Kudsk,                  D,  1.88 m,  b. 25 Feb 2003
Christian Friedrich,          D,  1.87 m,  b. 15 Feb 2003
Casper Winther,               M,  - ,      b. 11 Feb 2003
Frederik Heiselberg,          F,  - ,      b. 11 Feb 2003 @ Lyne
Christoffer Ravn,             D,  - ,      b. 9 Feb 2003
Luca Kjerrumgaard,            F,  - ,      b. 9 Feb 2003 @ Odense
Mika Biereth,                 F,  - ,      b. 8 Feb 2003 @ Lambeth
Rasmus Højlund,               F,  1.92 m,  b. 4 Feb 2003 @ Copenhagen
Sebastian Kristensen,         D,  - ,      b. 4 Feb 2003
Gustav Grubbe,                D,  1.81 m,  b. 27 Jan 2003 @ Odense
Andreas Gülstorff,            G,  - ,      b. 26 Jan 2003
Christian Rasmussen,          F,  1.84 m,  b. 19 Jan 2003 @ Lyngby
Filip Panjeskovic,            D,  - ,      b. 16 Jan 2003
Eskild Dall,                  F,  - ,      b. 8 Jan 2003 @ Aalborg

Mads Søndergaard,             M,  - ,      b. 26 Dec 2002
Victor Kristiansen,           D,  1.81 m,  b. 16 Dec 2002 @ Copenhagen
Noah Bischof,                 F,  1.85 m,  b. 7 Dec 2002 @ Feldkirch
Anton Gaaei,                  D,  1.83 m,  b. 19 Nov 2002 @ Viborg
Oliver Børsting,              F,  - ,      b. 30 Aug 2002
Karl Leth,                    F,  - ,      b. 22 Aug 2002
Laurs Skjellerup,             F,  1.95 m,  b. 12 Aug 2002 @ Mariagerfjord
Robin Østrøm,                 D,  1.88 m,  b. 9 Aug 2002 @ Copenhagen
