=================================
=  England

Harry Howell,                 F,  - ,      b. 29 Sep 2008
Tyler Jones,                  G,  - ,      b. 18 Apr 2008
Matthew Taylor,               M,  - ,      b. 31 Mar 2008
Freddie Simmonds,             D,  - ,      b. 9 Mar 2008
Bendito Mantato,              M,  - ,      b. 25 Jan 2008

Emilio Ballard-Matthews,      F,  - ,      b. 30 Nov 2007
Marcell Washington,           D,  - ,      b. 21 Aug 2007 @ Cambridge
Mikey Moore,                  F,  - ,      b. 11 Aug 2007 @ Southwark
Ollie Harrison,               M,  - ,      b. 7 Aug 2007 @ Blaydon
Reece Munro,                  D,  - ,      b. 21 Jul 2007
Luke Craggs,                  D,  - ,      b. 14 Jul 2007 @ Gateshead
Trey Nyoni,                   M,  - ,      b. 30 Jun 2007
Jacob Devaney,                D,  - ,      b. 11 Jun 2007
Sean Neave,                   F,  - ,      b. 27 May 2007 @ Newcastle upon Tyne
Harry Amass,                  D,  - ,      b. 16 May 2007
Jayce Fitzgerald,             M,  - ,      b. 9 May 2007
Rayan Oyebade,                D,  - ,      b. 30 Apr 2007
Trevan Sanusi,                F,  - ,      b. 25 Apr 2007
Joe Brayson,                  M,  - ,      b. 21 Apr 2007 @ Newcastle upon Tyne
Shea Lacey,                   M,  - ,      b. 14 Apr 2007
Sekou Kaba,                   F,  - ,      b. 28 Mar 2007
Ethan Nwaneri,                M,  - ,      b. 21 Mar 2007
Jack Fletcher,                M,  - ,      b. 19 Mar 2007 @ Manchester
Leo Shahar,                   D,  - ,      b. 18 Mar 2007
Sam Amissah,                  D,  - ,      b. 7 Mar 2007
Christian Chigozie,           D,  - ,      b. 1 Mar 2007 @ Luton
Kian Noble,                   D,  - ,      b. 26 Feb 2007
Carter Pinnington,            D,  - ,      b. 21 Feb 2007
Jonathan Esenga,              D,  - ,      b. 9 Feb 2007
Ben Broggio,                  M,  - ,      b. 29 Jan 2007
Bless Akolbire,               M,  - ,      b. 25 Jan 2007
Logan Watts,                  D,  - ,      b. 22 Jan 2007
Matteo Dashi,                 M,  - ,      b. 22 Jan 2007
Harrison Armstrong,           M,  - ,      b. 19 Jan 2007 @ Liverpool
Preston Fearon,               M,  - ,      b. 16 Jan 2007
Kai Crampton,                 G,  - ,      b. 15 Jan 2007 @ Watford
Frankie Runham,               M,  - ,      b. 9 Jan 2007 @ Eastbourne
Saheed Olagunju,              D,  - ,      b. 7 Jan 2007 @ Greenwich
Joshua King,                  M,  - ,      b. 3 Jan 2007
Zachary Baumann,              M,  - ,      b. 2 Jan 2007

Luca Furnell-Gill,            D,  - ,      b. 29 Dec 2006 @ Keighley
Sam Proctor,                  G,  - ,      b. 21 Dec 2006 @ Boston
Aidan Harris,                 G,  - ,      b. 16 Dec 2006 @ Sunderland
Conor McLeod,                 M,  - ,      b. 15 Dec 2006 @ Birmingham
Reece Clairmont,              D,  - ,      b. 14 Dec 2006 @ Waltham Forest
Thomas Bryant,                D,  - ,      b. 11 Dec 2006 @ Newcastle upon Tyne
Jaydan Kamason,               D,  - ,      b. 8 Dec 2006 @ Lambeth
Matty Henderson-Hall,         D,  - ,      b. 8 Dec 2006 @ Bradford
Jakai Bascoe-Fisher,          F,  - ,      b. 27 Nov 2006 @ Waltham Forest
Daniel Oyetunde,              F,  - ,      b. 26 Nov 2006 @ Enfield
Cam'ron Ismail,               D,  - ,      b. 22 Nov 2006 @ Islington
Kiano Dyer,                   M,  - ,      b. 21 Nov 2006 @ Birmingham
Amara Nallo,                  D,  - ,      b. 18 Nov 2006 @ Enfield
Dan Casey,                    M,  - ,      b. 18 Nov 2006
Gabriel Caliste,              M,  - ,      b. 18 Nov 2006 @ Redbridge
Joshua Ajala,                 F,  - ,      b. 13 Nov 2006 @ Redbridge
Lucas Pitt,                   D,  - ,      b. 31 Oct 2006
Adam Harrison,                G,  - ,      b. 20 Oct 2006 @ Newcastle upon Tyne
Louie Copley,                 M,  - ,      b. 20 Oct 2006 @ Southend-on-Sea
Joshua van Schoor,            D,  - ,      b. 8 Oct 2006 @ Warrington
Myles Lewis-Skelly,           M,  - ,      b. 26 Sep 2006 @ Lambeth
Matty Warhurst,               F,  - ,      b. 25 Sep 2006 @ Stalybridge
Ayden Heaven,                 D,  - ,      b. 22 Sep 2006 @ Islington
Caden Voice,                  D,  - ,      b. 14 Sep 2006 @ Walsall
Anthony Munda,                M,  - ,      b. 8 Sep 2006 @ Newcastle upon Tyne
Fola Onanuga,                 M,  - ,      b. 1 Sep 2006
Justin Oboavwoduo,            F,  - ,      b. 23 Aug 2006 @ Manchester
Ashton Missin,                F,  - ,      b. 15 Aug 2006 @ Halifax
Tyron Akpata,                 M,  - ,      b. 12 Aug 2006 @ Havering
Jimmy Sinclair,               D,  - ,      b. 11 Aug 2006 @ Nottingham
Osman Kamara,                 F,  - ,      b. 6 Aug 2006 @ Tower Hamlets
Harrison Murray-Campbell,     D,  - ,      b. 4 Aug 2006 @ Luton
Hindolo Mustapha,             M,  - ,      b. 29 Jul 2006 @ Lambeth
Coby Small,                   D,  - ,      b. 26 Jul 2006 @ Hackney
Josh Nichols,                 D,  - ,      b. 26 Jul 2006 @ Newham
Seb Boothe,                   M,  - ,      b. 17 Jul 2006 @ Bedford
Fin McAllister,               M,  - ,      b. 16 Jul 2006 @ Salford
Dylan Charlton,               D,  - ,      b. 2 Jul 2006 @ Gateshead
Cody Pennington,              M,  - ,      b. 13 Jun 2006 @ Preston
Ishé Samuels-Smith,           D,  - ,      b. 5 Jun 2006 @ Manchester
Odin Samuels-Smith,           D,  - ,      b. 5 Jun 2006 @ Manchester
Joel Ndala,                   F,  - ,      b. 31 May 2006 @ Manchester
Billy Blacker,                F,  - ,      b. 25 May 2006
Dondre Abraham,               G,  - ,      b. 24 May 2006 @ Enfield
Isaiah Dada-Mascoll,          M,  - ,      b. 24 May 2006 @ Manchester
Michael Golding,              M,  - ,      b. 23 May 2006 @ Kingston upon Thames
Archie Whitehall,             M,  - ,      b. 21 May 2006 @ Nottingham
Zach Abbott,                  D,  - ,      b. 13 May 2006
Reiss Denny,                  M,  - ,      b. 11 May 2006 @ Reading
Lakyle Samuel,                D,  - ,      b. 6 May 2006 @ Manchester
Josh-Kofi Acheampong,         D,  - ,      b. 5 May 2006 @ Waltham Forest
Lewis Miley,                  M,  - ,      b. 1 May 2006 @ Gateshead
Favour Fawunmi,               F,  - ,      b. 26 Apr 2006 @ Newham
Fabian Reynolds,              F,  - ,      b. 6 Apr 2006
Romari Forde,                 F,  - ,      b. 28 Mar 2006 @ Watford
Daniel Rigge,                 M,  - ,      b. 25 Mar 2006 @ Stockport
Harry Mills,                  M,  - ,      b. 17 Mar 2006
Somto Boniface,               D,  - ,      b. 11 Mar 2006 @ London
Taylor Ross,                  G,  - ,      b. 10 Mar 2006 @ Bolton
Charlie Tasker,               D,  - ,      b. 24 Feb 2006
Elyh Harrison,                G,  - ,      b. 19 Feb 2006 @ Redbridge
Hayden Carson,                D,  - ,      b. 19 Feb 2006 @ Whitehaven
Lewis Orford,                 M,  - ,      b. 18 Feb 2006 @ Havering
Ted Curd,                     G,  - ,      b. 14 Feb 2006 @ Kingston upon Thames
Leo Black,                    D,  - ,      b. 9 Feb 2006 @ Hackney
Tyrique George,               F,  - ,      b. 4 Feb 2006 @ Camden
Noah Cooper,                  G,  - ,      b. 2 Feb 2006 @ Bromley
Harrison McMahon,             M,  - ,      b. 29 Jan 2006 @ South Ockendon
Kamarni Ryan,                 M,  - ,      b. 29 Jan 2006 @ Hackney
Chinonso Chibueze,            F,  - ,      b. 28 Jan 2006 @ Lewisham
Scott Bailey,                 M,  - ,      b. 22 Jan 2006 @ Durham
Jimmy Jay-Morgan,             F,  - ,      b. 21 Jan 2006 @ Poole
Tom Olyott,                   F,  - ,      b. 21 Jan 2006 @ Liverpool
Ethan Wheatley,               F,  - ,      b. 20 Jan 2006 @ Stockport
Kadan Young,                  F,  - ,      b. 19 Jan 2006 @ Worcester
Jayden Danns,                 F,  - ,      b. 16 Jan 2006 @ Liverpool
Sebastian Ferdinand,          F,  - ,      b. 12 Jan 2006 @ Watford
Noah Hay,                     D,  - ,      b. 11 Jan 2006 @ Westminster
Leon Chiwome,                 F,  - ,      b. 10 Jan 2006 @ Brighton
Adam Berry,                   F,  - ,      b. 9 Jan 2006 @ Ashton-under-Lyne
Finlay Herrick,               G,  - ,      b. 9 Jan 2006 @ Hatfield
Harrison Dudziak,             M,  - ,      b. 9 Jan 2006 @ Westminster
Joe Johnson,                  D,  - ,      b. 9 Jan 2006
Travis Akomeah,               D,  - ,      b. 6 Jan 2006 @ Islington

Harry Powell,                 D,  - ,      b. 31 Dec 2005 @ Newcastle upon Tyne
Rory Powell,                  D,  - ,      b. 31 Dec 2005 @ Newcastle upon Tyne
Brian Okonkwo,                G,  - ,      b. 30 Dec 2005 @ Camden
Damon Park,                   D,  - ,      b. 29 Dec 2005 @ Manchester
Damola Ajayi,                 M,  - ,      b. 27 Dec 2005 @ Lambeth
Carter Milmore,               D,  - ,      b. 19 Dec 2005 @ Durham
Zane Albarus,                 M,  - ,      b. 18 Dec 2005 @ Milton Keynes
Jaden Heskey,                 F,  - ,      b. 17 Dec 2005 @ Manchester
Ezra Carrington,              D,  - ,      b. 16 Dec 2005 @ Manchester
Oliver Scarles,               D,  - ,      b. 12 Dec 2005 @ Bromley
Jack Moorhouse,               M,  - ,      b. 29 Nov 2005 @ Manchester
Alfie Harrison,               M,  - ,      b. 28 Nov 2005 @ Manchester
Luke Campbell,                G,  - ,      b. 27 Nov 2005 @ Slough
Lemar Gordon,                 F,  - ,      b. 17 Nov 2005 @ Ealing
Thomas Myles,                 G,  - ,      b. 17 Nov 2005 @ Preston
Ethan Williams,               M,  - ,      b. 14 Nov 2005 @ Manchester
Habeeb Ogunneye,              D,  - ,      b. 12 Nov 2005 @ Hackney
Jack Butler,                  M,  - ,      b. 12 Nov 2005 @ Liverpool
Max Merrick,                  G,  - ,      b. 10 Nov 2005 @ High Wycombe
Tony Gbopo,                   D,  - ,      b. 9 Nov 2005 @ Nottingham
Aaron Loupalo-Bi,             F,  - ,      b. 7 Nov 2005 @ Lambeth
Mason Rees,                   M,  - ,      b. 6 Nov 2005 @ Solihull
Jahmai Simpson-Pusey,         D,  - ,      b. 4 Nov 2005 @ Manchester
True Grant,                   G,  - ,      b. 2 Nov 2005 @ Manchester
Donnell McNeilly,             F,  - ,      b. 30 Oct 2005 @ Lewisham
Taylan Harris,                F,  - ,      b. 30 Oct 2005
Jemiah Umolu,                 F,  - ,      b. 28 Oct 2005 @ Westminster
Charlie Pavey,                M,  - ,      b. 23 Oct 2005
Michael Okeke,                M,  - ,      b. 16 Oct 2005 @ Manchester
Benjamin Arthur,              D,  - ,      b. 9 Oct 2005
Travis Patterson,             D,  - ,      b. 6 Oct 2005
Zach Marsh,                   F,  - ,      b. 6 Oct 2005 @ Luton
Blaise Uwandji,               F,  - ,      b. 5 Oct 2005
Josh Robertson,               M,  - ,      b. 3 Oct 2005
James Nolan,                  D,  - ,      b. 2 Oct 2005 @ Chorley
Callum Bates,                 M,  - ,      b. 28 Sep 2005
Charlie Penman,               D,  - ,      b. 25 Sep 2005
Josh Donaldson,               F,  - ,      b. 25 Sep 2005 @ Gateshead
Luis Brown,                   D,  - ,      b. 25 Sep 2005
Darren Palmer,                M,  - ,      b. 24 Sep 2005 @ South Shields
Josh Davidson,                D,  - ,      b. 23 Sep 2005 @ Liverpool
Jacob Wright,                 M,  - ,      b. 21 Sep 2005 @ Manchester
Joe Knight,                   M,  - ,      b. 21 Sep 2005
Emilio Lawrence,              F,  - ,      b. 20 Sep 2005 @ Manchester
Jacob Beaumont-Clark,         M,  - ,      b. 19 Sep 2005 @ Manchester
Lewis Koumas,                 M,  - ,      b. 19 Sep 2005 @ Chester
Liam Jones,                   M,  - ,      b. 12 Sep 2005
Sebastian Naylor,             D,  - ,      b. 10 Sep 2005 @ Manchester
Ryan Battrum,                 D,  - ,      b. 8 Sep 2005 @ Havering
Ruben Curley,                 M,  - ,      b. 5 Sep 2005 @ Manchester
Sahil Bashir,                 F,  - ,      b. 5 Sep 2005 @ Bradford
Tyrese Hall,                  M,  - ,      b. 4 Sep 2005 @ Camden
Oliver Gofford,               M,  - ,      b. 3 Sep 2005 @ Windsor
Kaiden Wilson,                D,  - ,      b. 2 Sep 2005 @ Bristol
Brody Peart,                  F,  - ,      b. 26 Aug 2005
Leo Castledine,               M,  - ,      b. 20 Aug 2005 @ Kingston upon Thames
George Abbott,                M,  - ,      b. 17 Aug 2005 @ Islington
Shaun Mavididi,               F,  - ,      b. 13 Aug 2005 @ Havering
Kamari Doyle,                 M,  - ,      b. 1 Aug 2005 @ Bristol
Billy Gee,                    F,  - ,      b. 30 Jul 2005 @ Tooting
Isaac Smith,                  D,  - ,      b. 26 Jul 2005 @ Liverpool
Max Alleyne,                  D,  - ,      b. 21 Jul 2005 @ Bristol
Ty Barnett,                   M,  - ,      b. 19 Jul 2005 @ Birmingham
Emran Soglo,                  M,  1.78 m,  b. 11 Jul 2005 @ Créteil
Zain Silcott Duberry,         F,  - ,      b. 9 Jul 2005 @ Hackney
Ashley Phillips,              D,  - ,      b. 26 Jun 2005
Jayden Barber,                D,  - ,      b. 23 Jun 2005
Daniel Adu-Adjei,             F,  - ,      b. 21 Jun 2005 @ Hammersmith
Kyrie Pierre,                 M,  - ,      b. 17 Jun 2005 @ Bristol
Rio Kyerematen,               M,  - ,      b. 9 Jun 2005 @ Westminster
Joe Gardner,                  M,  - ,      b. 6 Jun 2005 @ Nottingham
Amario Cozier-Duberry,        F,  - ,      b. 29 May 2005 @ Islington
David Ozoh,                   M,  - ,      b. 6 May 2005
Josh Feeney,                  D,  - ,      b. 6 May 2005 @ Blackpool
Bailey Smith,                 F,  - ,      b. 2 May 2005
Jayden Luker,                 M,  - ,      b. 30 Apr 2005 @ Southwark
Zack Nelson,                  M,  - ,      b. 21 Apr 2005 @ Camden
Alfie Dorrington,             D,  - ,      b. 20 Apr 2005 @ Enfield
Will Lankshear,               F,  - ,      b. 20 Apr 2005 @ Hatfield
Kobbie Mainoo,                M,  - ,      b. 19 Apr 2005 @ Stockport
