=================================
=  Finland

Jaaso Jantunen,               G,  1.96 m,  b. 31 Jan 2005 @ Helsinki
Tomas Galvez,                 D,  - ,      b. 28 Jan 2005 @ Watford

Otso Liimatta,                M,  1.69 m,  b. 10 Jul 2004 @ Oulo
Isak Vidjeskog,               M,  - ,      b. 28 Mar 2004
Jimi Tauriainen,              F,  - ,      b. 9 Mar 2004 @ Helsinki
Arttu Lötjönen,               D,  1.84 m,  b. 28 Jan 2004 @ Pori
Rony Jansson,                 D,  1.83 m,  b. 10 Jan 2004 @ Espoo

Niklas Pyyhtiä,               M,  1.88 m,  b. 25 Sep 2003 @ Turku
Jasper Samooja,               G,  1.93 m,  b. 21 Jul 2003 @ Helsinki
Miika Koskela,                D,  1.95 m,  b. 12 Jul 2003 @ Oulu
Casper Terho,                 F,  1.81 m,  b. 24 Jun 2003 @ Helsinki
Leo Walta,                    M,  1.70 m,  b. 24 Jun 2003 @ Vantaa
Maksim Stjopin,               F,  - ,      b. 8 Apr 2003
Lasse Schulz,                 G,  1.98 m,  b. 29 Mar 2003 @ Helsn
Agon Sadiku,                  F,  1.84 m,  b. 10 Mar 2003 @ Raahe
Henri Salomaa,                F,  1.84 m,  b. 14 Feb 2003
Kai Meriluoto,                F,  1.83 m,  b. 2 Jan 2003 @ Pori

Tony Miettinen,               D,  1.84 m,  b. 23 Sep 2002 @ Mombasa
Lucas Bergström,              G,  1.99 m,  b. 5 Sep 2002 @ Paragas
Antonio Yakoub,               F,  1.80 m,  b. 12 Jun 2002
Naatan Skyttä,                M,  1.70 m,  b. 7 May 2002 @ Ylöjärvi
Eetu Mömmö,                   F,  1.83 m,  b. 4 May 2002
Adam Markhiyev,               M,  1.83 m,  b. 17 Mar 2002 @ Nazran
Ville Koski,                  D,  1.85 m,  b. 27 Jan 2002 @ Tuusula
Santeri Väänänen,             M,  1.77 m,  b. 1 Jan 2002 @ Helsinki

Jeremiah Streng,              F,  1.88 m,  b. 8 Nov 2001 @ Vaasa
Terry Ablade,                 F,  1.81 m,  b. 12 Oct 2001 @ Accra
Viljami Sinisalo,             G,  1.96 m,  b. 11 Oct 2001 @ Espoo
Johannes Yli-Kokko,           M,  1.85 m,  b. 24 Aug 2001 @ Espoo
Oliver Antman,                M,  1.75 m,  b. 15 Aug 2001 @ Vantaa
Patrik Raitanen,              D,  1.87 m,  b. 13 Jun 2001 @ Ulvila
Maxi Tainio,                  M,  - ,      b. 24 May 2001 @ Auxerre
Janne-Pekka Laine,            M,  1.84 m,  b. 25 Jan 2001 @ Tampere
Anssi Suhonen,                M,  1.70 m,  b. 14 Jan 2001 @ Hyvinkää
Silman El Baset,              D,  1.88 m,  b. 1 Jan 2001

Jaakko Oksanen,               D,  1.84 m,  b. 7 Nov 2000 @ Helsinki
Daniel Håkans,                M,  1.78 m,  b. 26 Oct 2000 @ Vaasa
Tuomas Ollila,                D,  1.73 m,  b. 25 Apr 2000 @ Helsinki
Otto Huuhtanen,               G,  1.89 m,  b. 28 Feb 2000 @ Espoo

Onni Valakari,                M,  1.87 m,  b. 18 Aug 1999 @ Motherwell
Saku Ylätupa,                 M,  1.71 m,  b. 4 Aug 1999 @ Espoo
Timo Stavitski,               F,  1.80 m,  b. 17 Jul 1999 @ Kirkkonummi
Serge Atakayi,                F,  1.71 m,  b. 30 Jun 1999 @ Kinshasa
Marcus Forss,                 F,  1.86 m,  b. 18 Jun 1999 @ Turku
Eetu Vertainen,               F,  1.87 m,  b. 11 May 1999 @ Espoo
Jonas Häkkinen,               D,  1.86 m,  b. 21 Mar 1999 @ Vancouver
Miko Virtanen,                M,  1.81 m,  b. 29 Jan 1999 @ Tampere
