=================================
=  France

Ayyoub Bouaddi,               M,  1.75 m,  b. 2 Oct 2007 @ Senlis
Amidou Doumbouya,             M,  1.82 m,  b. 5 Aug 2007 @ Bourges
Kouakou Gadou,                D,  1.95 m,  b. 17 Jan 2007 @ Aubervilliers

Ethan Mbappé,                 M,  1.76 m,  b. 29 Dec 2006 @ Montreuil
Yanis Issoufou,               F,  1.82 m,  b. 28 Oct 2006 @ Nîmes
Daouda Traoré,                M,  1.88 m,  b. 22 Jul 2006 @ Ivry-sur-Seine
Eli Junior Kroupi,            M,  1.79 m,  b. 23 Jun 2006 @ Lorient
Mohamed-Amine Bouchenna,      F,  1.79 m,  b. 15 Jun 2006 @ Beaumont-sur-Oise
Lilian Baret,                 M,  - ,      b. 25 May 2006
Paul Argney,                  G,  1.86 m,  b. 23 May 2006 @ Granville
Senny Mayulu,                 M,  1.83 m,  b. 17 May 2006 @ Le Blanc-Mesnil
Yoram Zague,                  D,  1.68 m,  b. 15 May 2006 @ Paris
Arthur Tchaptchet,            D,  1.88 m,  b. 10 May 2006 @ Besançon
Fodé Sylla,                   M,  1.86 m,  b. 16 Apr 2006 @ Saint-Quentin
Keyliane Abdallah,            F,  1.85 m,  b. 5 Apr 2006 @ Marseille
Aboubacar Ali Abdallah,       F,  1.84 m,  b. 2 Apr 2006 @ Sainte-Marie
Bastien Meupiyou,             D,  1.91 m,  b. 19 Mar 2006 @ Paris
Warren Zaire-Emery,           M,  1.78 m,  b. 8 Mar 2006 @ Montreuil
Nhoa Sangui,                  D,  1.78 m,  b. 27 Feb 2006 @ Creil
Mathis Lambourde,             F,  1.80 m,  b. 9 Jan 2006 @ Les Lilas

Aaron Malouda,                F,  1.83 m,  b. 30 Nov 2005 @ Écully
Rabby Nzingoula,              M,  1.84 m,  b. 25 Nov 2005 @ Lille
Leny Yoro,                    D,  1.90 m,  b. 13 Nov 2005 @ Saint-Maurice
Samir El Mourabet,            M,  1.68 m,  b. 6 Oct 2005 @ Strasbourg
Noah Edjouma,                 F,  1.81 m,  b. 4 Oct 2005 @ Clamart
Ichem Ferrah,                 F,  1.71 m,  b. 23 Sep 2005 @ Tourcoing
Yoni Gomis,                   D,  1.86 m,  b. 23 Sep 2005 @ Saint-Aubin-lès-Elbeuf
Mamadou Diakhon,              F,  - ,      b. 22 Sep 2005 @ Strasbourg
Mamadou Sarr,                 D,  1.94 m,  b. 29 Aug 2005 @ Martigues
Valentin Atangana Edoa,       M,  1.73 m,  b. 25 Aug 2005 @ Yaoundé
Lisandru Olmeta,              G,  1.90 m,  b. 21 Jul 2005 @ Ajaccio
Jérémy Jacquet,               D,  1.88 m,  b. 13 Jul 2005 @ Bondy
Mohamed Bechikh,              F,  1.83 m,  b. 13 Jul 2005 @ Créteil
Justin Bengui João,           G,  1.90 m,  b. 9 Jul 2005 @ Montbéliard
Lucas Michal,                 F,  - ,      b. 22 Jun 2005 @ Bourg-la-Reine
Noah Raveyre,                 G,  1.82 m,  b. 22 Jun 2005 @ Le Puy-en-Velay
Nathan Zézé,                  D,  1.90 m,  b. 18 Jun 2005 @ Nantes
Noha Lemina,                  M,  1.72 m,  b. 17 Jun 2005 @ Libreville
Mokrane Bentoumi,             M,  1.69 m,  b. 16 Jun 2005 @ Rouen
Adame Faïz,                   M,  1.76 m,  b. 10 Jun 2005 @ Tours
Ylies Aradj,                  D,  1.77 m,  b. 5 Jun 2005 @ Toulouse
Désiré Doué,                  M,  1.77 m,  b. 3 Jun 2005 @ Angers
El Chadaille Bitshiabu,       D,  1.96 m,  b. 16 May 2005 @ Villeneuve-Saint-Georges
Ilyes Housni,                 F,  1.76 m,  b. 14 May 2005 @ Créteil
Côme Bianay Balcot,          D,  1.88 m,  b. 13 May 2005 @ Saint-Mandé
Jean-Mattéo Bahoya,           F,  1.80 m,  b. 7 May 2005 @ Montfermeil
Mathys Tel,                   F,  1.83 m,  b. 27 Apr 2005 @ Sarcelles
Christian Mawissa,            D,  1.85 m,  b. 18 Apr 2005 @ Saint-Jean-de-Verges
Dehmaine Assoumani,           M,  1.81 m,  b. 17 Apr 2005 @ Drancy
Enzo Mongo,                   D,  1.85 m,  b. 8 Apr 2005 @ Sarcelles
Junior Ndiaye,                F,  1.80 m,  b. 29 Mar 2005 @ Dubai
Saël Kumbedi,                 D,  1.75 m,  b. 26 Mar 2005 @ Stains
Axel Gueguin,                 F,  1.72 m,  b. 24 Mar 2005 @ Montpellier
Guillaume Restes,             G,  1.86 m,  b. 11 Mar 2005 @ Toulouse
Steve Ngoura,                 F,  1.85 m,  b. 22 Feb 2005 @ Ivry-sur-Seine
Ousmane Touré,                D,  1.87 m,  b. 18 Feb 2005 @ Lille
Jeanuël Belocian,             D,  1.86 m,  b. 17 Feb 2005 @ Les Abymes
Mahamadou Diawara,            M,  1.87 m,  b. 17 Feb 2005 @ Longjumeau
Eliesse Ben Seghir,           M,  1.78 m,  b. 16 Feb 2005 @ Gassin
Anthony Bermont,              F,  - ,      b. 10 Feb 2005 @ Beauvais
Ritchy Valme,                 D,  - ,      b. 3 Feb 2005 @ Gonesse
Killian Prouchet,             D,  1.75 m,  b. 23 Jan 2005 @ Tournan-en-Brie
Trevis Dago,                  F,  1.83 m,  b. 21 Jan 2005 @ Villeneuve-Saint-Georges
Noah Lahmadi,                 M,  - ,      b. 5 Jan 2005 @ La Tronche

Thérence Koudou,              D,  1.78 m,  b. 13 Dec 2004 @ Livry-Gargan
Badredine Bouanani,           M,  1.72 m,  b. 8 Dec 2004 @ Lille
Wilson Odobert,               F,  - ,      b. 28 Nov 2004 @ Meaux
Samuel Koeberlé,              M,  1.75 m,  b. 26 Nov 2004 @ Reims
Ayman Kari,                   M,  1.76 m,  b. 19 Nov 2004 @ Ivry-sur-Seine
Axel Guessand,                D,  1.82 m,  b. 6 Nov 2004 @ Schiltigheim
Joseph Nduquidi,              M,  1.87 m,  b. 31 Oct 2004 @ Metz
Christ Mbondi,                F,  - ,      b. 20 Oct 2004
Cheick Doumbia,               D,  1.75 m,  b. 18 Oct 2004 @ Courcouronnes
Vimoj Muntu Wa Mungu,         D,  1.65 m,  b. 15 Oct 2004 @ Fontainebleau
Kassoum Ouattara,             D,  1.76 m,  b. 14 Oct 2004 @ Paris
Amine Messoussa,              F,  1.80 m,  b. 12 Oct 2004 @ Lyon
Aïman Maurer,                 F,  1.73 m,  b. 25 Sep 2004 @ Neuilly-sur-Seine
Edan Diop,                    M,  1.80 m,  b. 28 Aug 2004 @ Tours
Willy Kambwala,               D,  1.92 m,  b. 25 Aug 2004 @ Kinshasa
Alex Lebarbier,               M,  - ,      b. 23 Aug 2004 @ Paris
Issiaka Kamate,               M,  1.86 m,  b. 2 Aug 2004 @ Aulnay-sous-Bois
Malamine Efekele,             F,  1.80 m,  b. 19 Jul 2004 @ Livry-Gargan
Gino Caoki,                   M,  1.92 m,  b. 17 Jul 2004 @ Saint-Herblain
Teo Allix,                    D,  1.83 m,  b. 5 Jul 2004 @ Montpellier
Nicolas Wasbauer,             D,  - ,      b. 4 Jul 2004 @ Toulouse
Stredair Owusu Appuah,        F,  1.85 m,  b. 27 Jun 2004 @ Sarcelles
Antonin Cartillier,           D,  1.76 m,  b. 23 Jun 2004 @ Blois
Khalil Fayad,                 M,  1.72 m,  b. 9 Jun 2004 @ Montpellier
Alexandre Tunkadi,            M,  1.83 m,  b. 7 Jun 2004 @ Antony
Kény Mbala,                   D,  1.91 m,  b. 2 Jun 2004 @ Nantes
Reda Belahyane,               M,  1.69 m,  b. 1 Jun 2004 @ Paris
Antoine Mendy,                D,  1.87 m,  b. 27 May 2004 @ Marseille
Yannis Nahounou,              D,  1.90 m,  b. 16 May 2004 @ Meaux
Aurélien Pelon,               D,  1.86 m,  b. 6 May 2004 @ La Roche-sur-Yon
Mathéo Bodmer,                M,  1.79 m,  b. 6 May 2004 @ Lille
Élysée Logbo,                 F,  1.88 m,  b. 6 May 2004 @ Paris
Mamadou Coulibaly,            M,  - ,      b. 21 Apr 2004 @ Paris
Rayan Bamba,                  D,  - ,      b. 14 Apr 2004 @ Paris
Ismaël Gharbi,                M,  1.73 m,  b. 10 Apr 2004 @ Paris
Mohamed El Arouch,            M,  1.66 m,  b. 6 Apr 2004 @ Orange
Lesley Ugochukwu,             M,  1.88 m,  b. 26 Mar 2004 @ Rennes
Mathieu Patouillet,           G,  1.88 m,  b. 20 Feb 2004 @ Lyon
Djaoui Cissé,                 M,  1.88 m,  b. 31 Jan 2004 @ Juvisy-sur-Orge
Mohamed Sylla,                D,  1.89 m,  b. 30 Jan 2004 @ Aubervilliers
Yann Batola,                  G,  - ,      b. 26 Jan 2004 @ Orléans
Mohamed-Ali Cho,              F,  1.82 m,  b. 19 Jan 2004 @ Stains
Ali Dembélé,                  D,  1.85 m,  b. 5 Jan 2004

Bilal Nadir,                  M,  1.79 m,  b. 28 Nov 2003 @ Nice
Taïryk Arconte,               F,  1.81 m,  b. 12 Nov 2003 @ Les Abymes
Paolo Sciortino,              M,  1.77 m,  b. 5 Nov 2003 @ Marseille
Soungoutou Magassa,           M,  1.88 m,  b. 8 Oct 2003 @ Stains
Warren Bondo,                 M,  1.77 m,  b. 15 Sep 2003 @ Evry
Loum Tchaouna,                F,  1.80 m,  b. 8 Sep 2003 @ N'Djamena
Ange Caumenan N'Guessan,      D,  1.88 m,  b. 1 Sep 2003 @ Paris
Axel Camblan,                 F,  1.68 m,  b. 30 Aug 2003 @ Brest
Rayan Cherki,                 M,  1.77 m,  b. 17 Aug 2003 @ Lyon
Félix Lemaréchal,             M,  1.81 m,  b. 7 Aug 2003 @ Tours
Lucas Gourna-Douath,          M,  1.85 m,  b. 5 Aug 2003 @ Villeneuve-Saint-Georges
Ismaël Doukouré,              D,  1.82 m,  b. 25 Jul 2003 @ Lille
Tom Pouilly,                  M,  1.80 m,  b. 18 Jun 2003 @ Liévin
Malo Gusto,                   D,  1.79 m,  b. 19 May 2003 @ Décines-Charpieu
Andy Diouf,                   M,  1.81 m,  b. 17 May 2003 @ Neuilly-sur-Seine
Junior Mwanga,                D,  1.84 m,  b. 11 May 2003 @ Lyon
Tom Louchet,                  D,  1.78 m,  b. 4 May 2003 @ Manosque
Moussa Cissé,                 D,  1.77 m,  b. 29 Apr 2003 @ Saint-Denis
Jérémy Sebas,                 F,  1.76 m,  b. 14 Apr 2003 @ Sainte-Anne
