=================================
=  Georgia

Gabriel Sigua,                M,  1.90 m,  b. 30 Jun 2005 @ Rustavi
Jorge Karseladze,             D,  1.75 m,  b. 18 Mar 2005 @ Vila do Conde

Saba Goglichidze,             D,  1.82 m,  b. 25 Jun 2004 @ Kutaisi
Giorgi Khabuliani,            F,  1.91 m,  b. 25 Mar 2004 @ Tbilisi
Irakli Yegoian,               M,  1.68 m,  b. 19 Mar 2004 @ Tbilisi
Luka Latsabidze,              D,  1.93 m,  b. 18 Mar 2004 @ Khashuri
Luka Tsulukidze,              M,  1.75 m,  b. 8 Feb 2004 @ Zestafoni

Luka Gagnidze,                M,  1.75 m,  b. 28 Feb 2003 @ Tbilisi
Giorgi Kvernadze,             D,  1.83 m,  b. 7 Feb 2003 @ Samtredia

Tsotne Bendianishvili,        M,  1.72 m,  b. 27 Dec 2002
Irakli Azarovi,               D,  1.79 m,  b. 21 Feb 2002 @ Batumi
Giorgi Omarashvili,           F,  1.90 m,  b. 10 Feb 2002 @ Tbilisi

Zurab Gigashvili,             D,  1.89 m,  b. 20 Nov 2001 @ Tbilisi
Giorgi Gagua,                 F,  1.93 m,  b. 10 Oct 2001 @ Tbilisi
Aleksandre Kalandadze,        D,  1.85 m,  b. 9 May 2001 @ Tbilisi
Iva Gelashvili,               D,  1.91 m,  b. 8 Apr 2001 @ Tbilisi
Nika Gagnidze,                M,  1.80 m,  b. 20 Mar 2001 @ Gori
Zuriko Davitashvili,          M|F,1.75 m,  b. 15 Feb 2001 @ Tbilisi
Giorgi Gocholeishvili,        D,  1.78 m,  b. 14 Feb 2001 @ Kutaisi
Khvicha Kvaratskhelia,        M,  1.83 m,  b. 12 Feb 2001 @ Tbilisi

Georges Mikautadze,           F,  1.76 m,  b. 31 Oct 2000 @ Lyon
Giorgi Mamardashvili,         G,  1.99 m,  b. 29 Sep 2000 @ Tbilisi

Giorgi Chakvetadze,           M,  1.83 m,  b. 29 Aug 1999 @ Tbilisi
Zviad Natchkebia,             M,  1.70 m,  b. 19 Aug 1999 @ Chkhorotsqu
Giorgi Kochorashvili,         M,  1.78 m,  b. 29 Jun 1999 @ Tbilisi
