=================================
=  Germany

Matteo Palma,                 D,  1.94 m,  b. 13 Mar 2008 @ Berlin

Ken Izekor,                   F,  1.75 m,  b. 24 May 2007 @ Aachen
Francis Onyeka,               F,  1.84 m,  b. 29 Apr 2007 @ Gummersbach
Nils Ramming,                 G,  1.90 m,  b. 28 Mar 2007 @ London

Oluwaseun Ogbemudia,          D,  1.85 m,  b. 18 Jul 2006 @ Berlin
Farid Alfa-Ruprecht,          F,  - ,      b. 28 Mar 2006 @ Hamburg
Nuha Jatta,                   M,  1.93 m,  b. 15 Mar 2006 @ Osnabrück
Timo Schlieck,                G,  1.93 m,  b. 2 Mar 2006 @ Lippstadt
Kjell Wätjen,                 M,  1.83 m,  b. 16 Feb 2006 @ Gevelsberg
Paris Brunner,                F,  1.86 m,  b. 15 Feb 2006
Maxim Dal,                    D,  1.89 m,  b. 26 Jan 2006 @ Nagold
Max Schmitt,                  G,  1.90 m,  b. 18 Jan 2006
Max Moerstedt,                F,  1.94 m,  b. 15 Jan 2006 @ Mannheim

Paul Wanner,                  M,  1.85 m,  b. 23 Dec 2005 @ Amtzell
Arijon Ibrahimović,           M,  1.76 m,  b. 11 Dec 2005 @ Nuremberg
Dennis Seimen,                G,  1.92 m,  b. 1 Dec 2005 @ Heilbronn
Noël Aséko Nkili,             M,  1.78 m,  b. 22 Nov 2005 @ Berlin
Elias Baum,                   D,  1.80 m,  b. 26 Oct 2005 @ Frankfurt am Main
Reno Münz,                    D,  1.88 m,  b. 2 Oct 2005 @ Jakarta
Coby Ebere,                   F,  - ,      b. 17 Sep 2005
Mert Kömür,                   M,  1.83 m,  b. 17 Jul 2005 @ Dachau
Samuele Di Benedetto,         M,  1.72 m,  b. 16 Jul 2005 @ Schwäbisch Gmünd
Tom Bischof,                  M,  1.75 m,  b. 28 Jun 2005 @ Aschaffenburg
Tim Schleinitz,               M,  1.78 m,  b. 10 Jun 2005 @ Mittweida
Luke Gauer,                   G,  1.87 m,  b. 28 May 2005 @ Wiesbaden
Hugo Rölleke,                 G,  2.04 m,  b. 6 May 2005 @ Gelsenkirchen
Kofi Amoako,                  M,  1.86 m,  b. 6 May 2005
Tim Köhler,                   D,  1.90 m,  b. 2 May 2005 @ Leipzig
Sidney Raebiger,              M,  1.76 m,  b. 17 Apr 2005 @ Freiberg
Leon Opitz,                   M,  1.83 m,  b. 11 Apr 2005
