=================================
=  Greece

Athanasios Christopoulos,     D,  - ,      b. 5 Jan 2008

Theofilos Kakadiaris,         G,  - ,      b. 17 Jan 2007

Andreas Adamakis,             M,  - ,      b. 7 Jul 2006
Konstantinos Veris,           F,  - ,      b. 7 Jun 2006
Denis Kala,                   M,  - ,      b. 29 Mar 2006
Nikos Tsaras,                 D,  - ,      b. 13 Mar 2006
Marios Dervisi,               F,  - ,      b. 8 Feb 2006
Charalampos Kallantzi,        M,  - ,      b. 20 Jan 2006
Stefanos Tzimas,              F,  1.84 m,  b. 6 Jan 2006 @ Thessaloniki

Ilias Simantirakis,           D,  - ,      b. 22 Dec 2005
Georgios Agorastos,           F,  - ,      b. 30 Nov 2005
Sarantis Tselebakis,          M,  1.78 m,  b. 2 Nov 2005
Vangelis Papakonstantinou,    D,  - ,      b. 26 Oct 2005 @ Serres
Vasilis Kontonikos,           F,  - ,      b. 11 Oct 2005
Thomas Avgoustidis,           M,  - ,      b. 10 Oct 2005 @ Thessaloniki
Dimitris Laskaris,            D,  - ,      b. 29 Sep 2005
Angelos Papadopoulos,         M,  - ,      b. 21 Aug 2005
Thomas Papadimitriou,         M,  - ,      b. 6 Jun 2005
Stelios-Rafail Vallindras,    G,  - ,      b. 3 May 2005
Manouel Kalafatis,            G,  - ,      b. 23 Mar 2005
Kostas Tanoulis,              D,  - ,      b. 7 Mar 2005
Sotiris Kontouris,            M,  - ,      b. 24 Feb 2005 @ Agrinio
Georgios Karakasidis,         G,  - ,      b. 31 Jan 2005
Spyros Angelidis,             G,  1.88 m,  b. 28 Jan 2005 @ Thessaloniki
Spyros Ampartzidis,           M,  - ,      b. 24 Jan 2005
Nikolaos Lolis,               M,  1.87 m,  b. 20 Jan 2005 @ Ioannina
Nikos Lolis,                  M,  - ,      b. 20 Jan 2005

Georgios Konstantakopoulos,   M,  - ,      b. 30 Dec 2004
Christos Papadopoulos,        M,  - ,      b. 1 Nov 2004 @ Larissa
Giannis Theodosoulakis,       F,  - ,      b. 11 Sep 2004 @ Retyhmno
Georgios Kyriopoulos,         M,  1.76 m,  b. 24 Aug 2004 @ Kos
Angelos Tsiris,               M,  - ,      b. 18 Aug 2004
Alexandros Maskanakis,        M,  1.73 m,  b. 8 Aug 2004 @ Serres
Alexandros Tsompanidis,       G,  1.85 m,  b. 5 Aug 2004 @ Komotini
Dimitris Naoumis,             D,  - ,      b. 3 Aug 2004
Christos Ioannidis,           M,  - ,      b. 28 Jul 2004 @ Katerini
Alexios Kalogeropoulos,       D,  1.87 m,  b. 26 Jul 2004 @ Andravida
Vasilis Kaperdas,             M,  - ,      b. 25 Jul 2004
Thomas Vrakas,                G,  - ,      b. 22 Jul 2004
Tasos Symeonidis,             M,  - ,      b. 6 Jul 2004 @ Thessaloniki
Panagiotis Kalampoukas,       G,  - ,      b. 24 Jun 2004
Nikolaos Tropoulos,           G,  1.80 m,  b. 21 Jun 2004
Vangelis Nikolaou,            M,  - ,      b. 3 Jun 2004
Rafail Sgouros,               M,  - ,      b. 28 May 2004
Georgios Karagiannidis,       D,  1.91 m,  b. 30 Apr 2004 @ Xanthi
Giannis Apostolakis,          M,  - ,      b. 24 Apr 2004 @ Rethymno
Nikolaos Botis,               G,  1.96 m,  b. 31 Mar 2004 @ Larissa
Leonid Mina,                  F,  - ,      b. 28 Mar 2004
Alexandros Kedikoglou,        F,  1.86 m,  b. 22 Mar 2004 @ Thessaloniki
Dimitrios Monastirlis,        G,  1.92 m,  b. 22 Mar 2004 @ Thessaloniki
Konstantinos Kyriazis,        G,  - ,      b. 4 Mar 2004
Nikos Chalkiadakis,           M,  - ,      b. 19 Feb 2004 @ Heraklion
Zacharias Papadimitriou,      M,  - ,      b. 18 Feb 2004
Michalis Panagidis,           M,  - ,      b. 11 Feb 2004
Georgios Koutsias,            F,  1.80 m,  b. 8 Feb 2004 @ Thessaloniki
Christos Chatziioannou,       F,  - ,      b. 10 Jan 2004

Vassilis Troumpoulos,         M,  1.94 m,  b. 23 Dec 2003 @ Lamia
Dimitris Metaxas,             M,  - ,      b. 16 Dec 2003
Konstantinos Koulierakis,     D,  1.85 m,  b. 28 Nov 2003 @ Chania
Marios Sofianos,              M,  1.75 m,  b. 24 Nov 2003 @ Serres
Mattheos Mountes,             M,  - ,      b. 17 Nov 2003
Nikos Zouglis,                F,  - ,      b. 14 Nov 2003
Panagiotis Anastasopoulos,    D,  - ,      b. 24 Oct 2003
Antonis Makatounakis,         G,  1.86 m,  b. 18 Oct 2003
Athanasios Karamanis,         M,  - ,      b. 14 Oct 2003
Marios Tzavidas,              F,  1.83 m,  b. 8 Oct 2003 @ Lagonisi
Lampros Moustakas,            M,  - ,      b. 18 Sep 2003
Ilias Lazaridis,              D,  1.85 m,  b. 10 Sep 2003 @ Kozani
Titos Koutentakis,            M,  1.69 m,  b. 22 Aug 2003 @ Heraklion
Dominikos Prountzos,          M,  - ,      b. 19 Aug 2003
Thanasis Triantafyllou,       F,  1.85 m,  b. 22 Jul 2003
Thanos Papadoudis,            G,  - ,      b. 6 Jul 2003
Christos Dimos,               G,  - ,      b. 3 Jul 2003
Christos Kryparakos,          M,  1.74 m,  b. 12 Jun 2003 @ Athens
Alexandros Tsioptsis,         G,  1.93 m,  b. 2 Jun 2003 @ Giannitsa
Nikos Grammatikakis,          G,  - ,      b. 26 May 2003
Konstantinos Theodoridis,     D,  - ,      b. 24 May 2003
Konstantinos Chrysopoulos,    D,  1.87 m,  b. 21 May 2003 @ Thessaloniki
Panagiotis Anagnostopoulos,   M,  1.73 m,  b. 16 May 2003
Sotiris Ragias,               G,  - ,      b. 16 May 2003
Giannis Konstantelias,        M,  1.76 m,  b. 10 May 2003 @ Volos
Zisis Saliaris,               M,  - ,      b. 25 Apr 2003 @ Thessaloniki
Dimitrios Stamatakis,         G,  1.91 m,  b. 23 Apr 2003 @ Athens
Konstantinos Lampropoulos,    D,  1.90 m,  b. 21 Apr 2003
Dimitrios Ananiadis,          M,  - ,      b. 18 Apr 2003
Georgios Kosteas,             F,  - ,      b. 16 Apr 2003
Panagiotis Dalamitras,        F,  - ,      b. 13 Apr 2003
Panagiotis Avgerinos,         G,  1.97 m,  b. 11 Apr 2003
Fotis Kitsos,                 D,  1.74 m,  b. 31 Mar 2003 @ Athens
Kristian Rroku,               G,  1.90 m,  b. 29 Mar 2003 @ Athens
Iason Kyrkos,                 M,  - ,      b. 21 Mar 2003
Ilias Kostis,                 D,  1.88 m,  b. 27 Feb 2003 @ Thessaloniki
Manolis Smpokos,              D,  - ,      b. 19 Feb 2003
Athanasios Stoinovic,         M,  1.78 m,  b. 17 Feb 2003 @ Komotini
Alexandros Doumas,            D,  - ,      b. 3 Feb 2003
Andreas Ntoi,                 D,  1.90 m,  b. 2 Feb 2003 @ Athens
Ilias Christopoulos,          D,  1.73 m,  b. 2 Feb 2003
Fotis Pseftis,                G,  1.90 m,  b. 19 Jan 2003 @ Athens
Thomas Kastanaras,            F,  1.85 m,  b. 9 Jan 2003 @ Stuttgart

Apostolos Apostolopoulos,     D,  1.75 m,  b. 11 Dec 2002
Vasilios Sourlis,             M,  1.82 m,  b. 16 Nov 2002 @ Athens
Vasilis Sourlis,              M,  1.82 m,  b. 16 Nov 2002 @ Athens
Christos Kourfalidis,         M,  1.78 m,  b. 11 Nov 2002 @ Thessaloniki
Konstantinos Tzolakis,        G,  1.93 m,  b. 8 Nov 2002 @ Chania
Ajdi Dajko,                   D,  - ,      b. 28 Oct 2002
Giorgos Papadopoulos,         D,  - ,      b. 18 Oct 2002
Pavlos Pantelidis,            F,  - ,      b. 16 Sep 2002 @ Athens
Alexandros Lolis,             M,  1.80 m,  b. 5 Sep 2002 @ Igoumenitsa
Vasíleios Pavlídis,           D,  1.84 m,  b. 4 Sep 2002 @ Thessaloniki
