=================================
=  Ireland

Michael Noonan,               F,  - ,      b. 31 Jul 2008
Rory Finneran,                M,  - ,      b. 29 Feb 2008
Darie Patton,                 M,  - ,      b. 15 Jan 2008
Kyle McDonagh,                D,  - ,      b. 10 Jan 2008

Luke Mulligan,                D,  - ,      b. 13 Nov 2007 @ Monaghan
Luca Cailloce,                D,  1.78 m,  b. 1 Nov 2007 @ Balbriggan
Mason Melia,                  F,  - ,      b. 22 Sep 2007 @ Wicklow
Luke O'Donnell,               M,  - ,      b. 27 Jun 2007 @ Buncrana
Ikechukwu Orazi,              F,  - ,      b. 11 Jun 2007 @ Dublin
Gareth McElroy,               D,  - ,      b. 1 Jun 2007
Kyle Gabbidon,                G,  - ,      b. 25 May 2007
Sean Moore,                   M,  - ,      b. 8 Mar 2007
Joe Collins,                  G,  - ,      b. 25 Feb 2007
Ronnie Gorman,                M,  - ,      b. 1 Feb 2007

Stan Ashbee,                  D,  - ,      b. 28 Nov 2006
Nickson Okosun,               F,  - ,      b. 21 Nov 2006
Nickson Okuson,               F,  - ,      b. 21 Nov 2006
Hugh Smith,                   M,  - ,      b. 11 Nov 2006
Naj Razi,                     M,  1.75 m,  b. 28 Oct 2006
Shaun Wade,                   F,  - ,      b. 29 Sep 2006 @ Bristol
Ryan Maher,                   G,  - ,      b. 29 Jul 2006
Romeo Akachukwu,              M,  1.77 m,  b. 28 Jul 2006 @ Waterford
Sean Patton,                  F,  - ,      b. 25 Jul 2006
Freddie Turley,               M,  - ,      b. 3 Jul 2006
Adam Queally,                 D,  1.83 m,  b. 1 Jul 2006 @ Waterford
Trent Kone-Doherty,           F,  - ,      b. 30 Jun 2006 @ Derry
Ronan Mansfield,              F,  - ,      b. 19 Jun 2006
Eli Rooney,                   D,  - ,      b. 26 May 2006
Declan Osagie,                D,  - ,      b. 20 May 2006
Cory O'Sullivan,              D,  1.73 m,  b. 2 May 2006 @ Dublin
Sean Keogh,                   M,  - ,      b. 15 Apr 2006
Finn Moore,                   G,  - ,      b. 3 Apr 2006
Kyle Donoghue,                M,  - ,      b. 30 Mar 2006 @ Kildare
Owen Elding,                  M,  - ,      b. 7 Mar 2006
Jason Healy,                  G,  - ,      b. 6 Mar 2006
Rhys Bartley,                 M,  - ,      b. 3 Mar 2006 @ Dublin
John O'Sullivan,              M,  - ,      b. 2 Mar 2006
Anthony Dodd,                 M,  - ,      b. 19 Feb 2006 @ Dublin
Aran Fitzpatrick,             D,  - ,      b. 7 Feb 2006 @ Whitehaven
Luke Kehir,                   M,  - ,      b. 2 Feb 2006
Tiernan McGinty,              M,  - ,      b. 23 Jan 2006 @ Falcarragh
Liam McAlinney,               D,  - ,      b. 19 Jan 2006
Daniel Babb,                  D,  - ,      b. 15 Jan 2006

Patrick Casey,                F,  - ,      b. 19 Dec 2005
Andrew Wogan,                 G,  1.89 m,  b. 1 Dec 2005 @ Drogheda
Sam Curtis,                   D,  - ,      b. 1 Dec 2005 @ Navan
Conor Reynolds,               M,  - ,      b. 25 Nov 2005
Fintan Agnew,                 G,  - ,      b. 7 Oct 2005
Luke Browne,                  D,  - ,      b. 6 Oct 2005
Harry O'Connor,               M,  - ,      b. 27 Sep 2005
Darius Lipsiuc,               M,  - ,      b. 16 Sep 2005
Sean Cummins,                 D,  1.75 m,  b. 1 Sep 2005 @ Donnycarney
Ryan McBrearty,               M,  - ,      b. 30 Aug 2005
Emre Topcu,                   M,  1.83 m,  b. 21 Aug 2005 @ Drogheda
Sean Moore,                   F,  - ,      b. 13 Aug 2005
Sam Healy,                    G,  - ,      b. 29 Jul 2005
Evan Haddock,                 D,  - ,      b. 7 Jul 2005
