=================================
=  North Macedonia

Edin Ajradinoski,             G,  1.90 m,  b. 13 May 2005 @ Macerata
Feta Fetai,                   M,  1.72 m,  b. 11 May 2005 @ Skopje

Dashmir Elezi,                F,  1.74 m,  b. 21 Nov 2004 @ Tetovo
Ardijan Chilafi,              M,  1.89 m,  b. 3 Jun 2004 @ Skopje

Reshat Ramadani,              M,  1.85 m,  b. 30 Jun 2003 @ Tetovo
Filip Trpchevski,             F,  1.87 m,  b. 4 May 2003 @ Gothenburg
Berat Kalkan,                 F,  1.71 m,  b. 2 Mar 2003 @ İstanbul

Arda Kurtulan,                F,  1.83 m,  b. 19 Nov 2002 @ İstanbul
Luka Stankovski,              M,  1.90 m,  b. 2 Sep 2002 @ Skopje
Mario Ilievski,               F,  1.81 m,  b. 24 Apr 2002 @ Skopje

Besir Baftijar,               F,  1.69 m,  b. 31 Aug 2001 @ Ústí nad Labem
David Tosevski,               F,  1.86 m,  b. 16 Jul 2001 @ Skopje
Agon Elezi,                   M,  1.78 m,  b. 1 Mar 2001 @ Skopje
Jovan Manev,                  D,  1.88 m,  b. 25 Jan 2001 @ Kocani

Filip Antovski,               D,  1.76 m,  b. 24 Nov 2000 @ Kumanovo
Darko Churlinov,              M,  1.80 m,  b. 11 Jul 2000 @ Skopje
Ali Adem,                     M,  1.75 m,  b. 1 Jun 2000 @ Skopje
Adrian Hajdari,               D,  1.72 m,  b. 31 May 2000 @ Gostivar
Enis Fazlagikj,               M,  1.88 m,  b. 27 Mar 2000 @ Veles

Jani Atanasov,                M,  1.87 m,  b. 31 Oct 1999 @ Strumica
Eljif Elmas,                  M,  1.82 m,  b. 24 Sep 1999 @ Skopje
Andrej Lazarov,               M,  1.82 m,  b. 8 Sep 1999 @ Kočani
Nikola Serafimov,             D,  1.93 m,  b. 11 Aug 1999 @ Skopje
Bojan Miovski,                F,  1.89 m,  b. 24 Jun 1999 @ Štip
Agron Rufati,                 D,  1.83 m,  b. 6 Apr 1999 @ Zagreb
Todor Todoroski,              D,  1.80 m,  b. 26 Feb 1999 @ Prilep
Dimitar Mitrovski,            F,  1.76 m,  b. 28 Jan 1999 @ Skopje

Risto Jankov,                 G,  1.90 m,  b. 5 Sep 1998 @ Skopje
Daniel Milovanovikj,          M,  1.80 m,  b. 10 Aug 1998 @ Kavadarci
Milan Ristovski,              F,  1.88 m,  b. 8 Apr 1998 @ Skopje
Davor Zdravkovski,            M,  1.80 m,  b. 20 Mar 1998 @ Skopje

Valon Ethemi,                 F,  1.79 m,  b. 3 Oct 1997 @ Palatica
Stefan Jevtoski,              M,  1.80 m,  b. 2 Sep 1997 @ Skopje
Matej Cvetanoski,             D,  1.76 m,  b. 18 Aug 1997 @ Skopje
