=================================
=  Northern Ireland

William Murdock,              G,  - ,      b. 26 May 2007

Kieran Morrison,              M,  - ,      b. 9 Nov 2006
Tom Atcheson,                 D,  - ,      b. 22 Sep 2006
Ryan Donnelly,                M,  - ,      b. 4 Sep 2006
Troy Engseth Nyhammer,        M,  - ,      b. 19 Aug 2006 @ Bømlo
Callum McCay,                 M,  - ,      b. 16 Aug 2006 @ Derry
Josh Briggs,                  D,  - ,      b. 14 Mar 2006 @ Belfast

Eoin Kenny,                   F,  1.80 m,  b. 30 Dec 2005 @ Derry
Conor Barr,                   D,  - ,      b. 19 Dec 2005
Jack Patterson,               M,  - ,      b. 16 Oct 2005 @ Ballyclare
Omari Kellyman,               F,  - ,      b. 25 Sep 2005 @ Derby
Reece Evans,                  F,  - ,      b. 25 Sep 2005
Sam Glenfield,                F,  - ,      b. 10 May 2005
Ruairi McConville,            D,  - ,      b. 1 May 2005
Lewis Trickett,               F,  - ,      b. 27 Apr 2005 @ Blackburn
Daithí McCallion,             D,  - ,      b. 8 Apr 2005
Jamie Donley,                 F,  - ,      b. 3 Jan 2005 @ Antrim

Stephen McMullan,             G,  1.84 m,  b. 31 Dec 2004
Darren Robinson,              M,  1.80 m,  b. 29 Dec 2004 @ Portadown
Callum Marshall,              F,  - ,      b. 28 Nov 2004 @ Glengormley
Dylan Graham,                 G,  - ,      b. 31 Oct 2004 @ Belfast
Fraser Barnsley,              G,  - ,      b. 6 Oct 2004
Patrick Kelly,                M,  - ,      b. 2 Oct 2004 @ Portstewart
Brodie Spencer,               D,  1.82 m,  b. 6 May 2004 @ Belfast
Matt Carson,                  D,  - ,      b. 29 Apr 2004
Michael Forbes,               D,  - ,      b. 29 Apr 2004
Tommy Fogarty,                D,  - ,      b. 15 Mar 2004
Jake Wallace,                 D,  - ,      b. 1 Mar 2004
Callum Wilson,                D,  - ,      b. 29 Feb 2004
Harry Wilson,                 M,  - ,      b. 16 Feb 2004
Jamie McDonnell,              M,  - ,      b. 16 Feb 2004
Makenzie Kirk,                F,  - ,      b. 6 Feb 2004
Conor Falls,                  F,  1.83 m,  b. 2 Jan 2004

Ciaran McGuckin,              F,  1.88 m,  b. 30 Dec 2003 @ Leeds
Dale Taylor,                  F,  1.85 m,  b. 12 Dec 2003 @ Belfast
Charlie Allen,                F,  - ,      b. 22 Nov 2003 @ Belfast
Henry Jeffcott,               D,  - ,      b. 15 Nov 2003 @ Westminster
Terry Devlin,                 M,  1.76 m,  b. 6 Nov 2003 @ Cookstown
Shea Charles,                 D,  1.89 m,  b. 5 Nov 2003 @ Manchester
Isaac Price,                  M,  1.75 m,  b. 26 Sep 2003
Conor Bradley,                D|M,- ,      b. 9 Jul 2003 @ Tyrone
Aaron Donnelly,               D,  - ,      b. 8 Jun 2003
Caolan McBride,               M,  1.79 m,  b. 2 Jun 2003
Orrin McLaughlin,             M|F,- ,      b. 28 May 2003
Dylan Berry,                  G,  - ,      b. 14 May 2003
Ross McCausland,              M,  - ,      b. 12 May 2003
Lee Harkin,                   F,  1.65 m,  b. 7 May 2003 @ Derry
Caoimhin Porter,              D|F,- ,      b. 1 Apr 2003
Sean Stewart,                 D,  - ,      b. 21 Jan 2003
Euan Williams,                M,  - ,      b. 15 Jan 2003
Sean McAllister,              M,  - ,      b. 1 Jan 2003 @ Randalstown

Dermot Mee,                   G,  - ,      b. 20 Nov 2002 @ Birmingham
Jack Scott,                   D,  1.83 m,  b. 22 Sep 2002 @ Belfast
Carl Johnston,                D|M,1.75 m,  b. 29 May 2002 @ Belfast
Gerard Storey,                M,  - ,      b. 2 May 2002
Charlie McCann,               M,  1.78 m,  b. 24 Apr 2002 @ Coventry
Evan McLaughlin,              M,  - ,      b. 30 Mar 2002 @ Derry
Trai Hume,                    D,  1.80 m,  b. 18 Mar 2002 @ Ballymena
Micheál Glynn,                D,  - ,      b. 12 Mar 2002
Kyle McClelland,              D,  - ,      b. 10 Feb 2002 @ Glasgow
Eoin Teggart,                 F,  - ,      b. 6 Feb 2002
MacKenzie O'Neill,            F,  - ,      b. 20 Jan 2002 @ Liverpool
JJ McKiernan,                 M,  1.84 m,  b. 18 Jan 2002 @ Southampton
Dylan Boyle,                  M,  1.72 m,  b. 15 Jan 2002 @ Belfast
Barry Baggley,                M,  1.76 m,  b. 11 Jan 2002 @ Belfast
Sam McClelland,               D,  1.91 m,  b. 4 Jan 2002 @ Coleraine

Daniel Lafferty,              M,  - ,      b. 22 Dec 2001
Ben Wilson,                   M,  - ,      b. 5 Dec 2001 @ Derry
Brandon Bermingham,           F,  1.85 m,  b. 5 Dec 2001 @ Drogheda
Chris Conn-Clarke,            M|F,- ,      b. 22 Nov 2001
Liam Hughes,                  G,  - ,      b. 19 Aug 2001
Tiernan Parker,               G,  1.90 m,  b. 4 Aug 2001 @ Hertford
Sean Robertson,               D|F,- ,      b. 6 Jun 2001 @ Wandsworth
Ethan Galbraith,              M,  1.75 m,  b. 11 May 2001 @ Belfast
Paddy Lane,                   F,  1.75 m,  b. 18 Feb 2001 @ Halifax
Danny Finlayson,              D,  1.91 m,  b. 19 Jan 2001 @ Glasgow

Jack Lemoignan,               G,  - ,      b. 21 Oct 2000
Harry Robinson,               M,  1.84 m,  b. 26 Sep 2000 @ Preston
