=================================
=  Norway

Borys Olszewski,              G,  - ,      b. 17 Aug 2008
Elion Krosa,                  F,  - ,      b. 27 Jul 2008
Einar Fasukanger,             G,  - ,      b. 18 Jul 2008
Elias Solberg,                M,  - ,      b. 6 Feb 2008
Jesper Solberg,               D,  - ,      b. 6 Feb 2008

Mathias Klausen,              G,  1.90 m,  b. 10 Oct 2007 @ Askøy
Daniel Skaarud,               F,  - ,      b. 10 Sep 2007
Sander Guggedal Dahle,        M,  - ,      b. 3 Sep 2007
Alem Omerinović,              G,  - ,      b. 29 Aug 2007
Mads Myklebust,               G,  - ,      b. 31 Jul 2007
Sebastian Olderheim,          M,  - ,      b. 8 Jul 2007
Jesper Nerhus Eikrem,         M,  - ,      b. 2 Jul 2007
Felix Taraldset,              M,  1.80 m,  b. 1 Jul 2007 @ Stavanger
Håkon Volden,                 D,  - ,      b. 25 May 2007
Fillip Jenssen Riise,         D,  - ,      b. 11 May 2007
Bendik Berntsen,              F,  - ,      b. 17 Apr 2007
Henri Sørlie,                 G,  - ,      b. 4 Apr 2007
Joachim Prent-Eckbo,          D,  1.81 m,  b. 5 Mar 2007
Alexander Røssing-Lelesiit,   F,  - ,      b. 20 Jan 2007
Haakon Haugen,                F,  - ,      b. 10 Jan 2007
Isak Sjong,                   G,  - ,      b. 8 Jan 2007

Sverre Halseth Nypan,         M,  - ,      b. 19 Dec 2006
Sverre Fauskanger,            G,  - ,      b. 16 Nov 2006
William Osnes-Ringen,         M,  1.74 m,  b. 13 Nov 2006
Jørgen Sønstebø,              D,  - ,      b. 10 Nov 2006
Jonas Myhre,                  G,  - ,      b. 4 Nov 2006
El Schaddai Furaha,           F,  - ,      b. 2 Nov 2006
Faniel Temesgen Tewelde,      F,  - ,      b. 9 Sep 2006
Sondre Granaas,               M,  1.78 m,  b. 30 Aug 2006
Isak Reset-Kalland,           G,  - ,      b. 22 Aug 2006
Leander Larona Gunnerød,      G,  - ,      b. 20 Aug 2006
Daniel Ailo Sakshaug Bær,     D,  - ,      b. 16 Aug 2006
Mikkel Hope,                  D,  - ,      b. 8 Aug 2006
Julian Gonstad,               F,  1.80 m,  b. 29 Jun 2006
Oliver Hagen,                 M|F,- ,      b. 9 Jun 2006
Godwill Ambrose,              D,  - ,      b. 31 May 2006
Stian Sjøvold Thorstensen,    M,  - ,      b. 16 May 2006 @ Trondheim
Filip Erik Thorvaldsen,       F,  - ,      b. 15 Apr 2006
Storm Pettersen,              F,  - ,      b. 11 Apr 2006
Herman Hagen,                 D,  - ,      b. 7 Apr 2006
Magnus Holte,                 F,  - ,      b. 27 Mar 2006 @ Ler
Balder Bjerkan,               F,  - ,      b. 23 Mar 2006 @ Heddal
Brede Fiksdal,                F,  - ,      b. 4 Mar 2006
Anders Rønne Børset,          D,  1.85 m,  b. 22 Feb 2006 @ Hommelvik
Andreas Heredia-Randen,       M,  - ,      b. 22 Feb 2006
Elias Kringberg Haug,         D,  - ,      b. 18 Feb 2006 @ Askim
Lukas Johnsen-Mørken,         D,  - ,      b. 16 Feb 2006
Gustav Nyheim,                M,  - ,      b. 13 Feb 2006
Almar Gjerd Grindhaug,        M,  - ,      b. 4 Feb 2006
Jesper Reitan-Sunde,          M,  - ,      b. 31 Jan 2006
Johannes Wiig,                D,  - ,      b. 31 Jan 2006
Max Bjurström,                D,  1.81 m,  b. 26 Jan 2006
Mathias Myklebust,            D,  - ,      b. 14 Jan 2006
Jones El-Abdellaoui,          M,  1.84 m,  b. 12 Jan 2006
Aleksander Hammer Kjelsen,    D,  - ,      b. 3 Jan 2006

Julian Træet,                 F,  - ,      b. 25 Dec 2005
Sebastian Berntsen,           D,  - ,      b. 7 Dec 2005
Adrian Røragen Hermansen,     D,  - ,      b. 4 Dec 2005
Ulrik Stranden,               D,  - ,      b. 9 Nov 2005
Travis Hernes,                M,  - ,      b. 4 Nov 2005 @ Heradsbygda
Jens Hjertø-Dahl,             M|F,1.93 m,  b. 31 Oct 2005 @ Tromsø
Magnus Fjørtoft Løvik,        F,  - ,      b. 7 Oct 2005
Enok Naustdal,                M,  - ,      b. 11 Sep 2005
Benjamin Thoresen Faraas,     M,  - ,      b. 8 Sep 2005
Henrik Jamne,                 G,  - ,      b. 17 Aug 2005
Oliver Henriksrud,            F,  - ,      b. 8 Aug 2005 @ Skedsmo
Thorbjørn Bellon Kristiansen, D,  - ,      b. 27 Jul 2005
