=================================
=  Poland

Igor Pieprzyca,               M,  1.80 m,  b. 8 Oct 2008 @ Niepołomice
Jedrzej Hanuszczak,           M,  - ,      b. 23 Mar 2008 @ Poznań

Fabian Bzdyl,                 M,  1.80 m,  b. 2 Dec 2007 @ Kraków
Filip GIl,                    D,  1.84 m,  b. 8 Jul 2007
Cyprian Popielec,             M,  - ,      b. 7 Mar 2007
Michał Wróblewski,            D,  - ,      b. 26 Feb 2007 @ Wrocław
Mikołaj Molendowski,          M,  - ,      b. 19 Feb 2007
Mateusz Pruchniewski,         G,  - ,      b. 15 Feb 2007 @ Katowice
Adrian Przyborek,             M,  - ,      b. 1 Jan 2007 @ Koszalin

Paweł Kwiatkowski,            D,  1.89 m,  b. 31 Dec 2006 @ Toruń
Igor Stańczak,                M,  - ,      b. 17 Oct 2006 @ Gostyń
Bartłomiej Barański,          M,  1.78 m,  b. 9 Oct 2006 @ Katowice
Karol Borys,                  M,  1.74 m,  b. 28 Sep 2006 @ Otmuchów
Jakub Paszkowski,             M,  - ,      b. 16 Sep 2006
Krzysztof Kurowski,           D,  1.80 m,  b. 29 Aug 2006 @ Wrocław
Filip Rózga,                  M,  - ,      b. 7 Aug 2006 @ Skawina
Krzysztof Kolanko,            M,  1.63 m,  b. 3 Aug 2006
Adrian Janusz,                G,  - ,      b. 30 Jun 2006
Marcel Potoczny,              G,  1.84 m,  b. 29 Jun 2006 @ Katowice
Ksawery Kwiatkowski,          D,  - ,      b. 13 Jun 2006
Michał Matys,                 G,  - ,      b. 6 May 2006 @ Jelenia Góra
Kacper Gołębiewski,           M,  1.87 m,  b. 25 Apr 2006 @ Strzelce Opolskie
Dominik Szala,                M,  1.85 m,  b. 24 Apr 2006 @ Katowice
Filip Rejczyk,                M,  1.79 m,  b. 20 Apr 2006 @ Stalowa Wola
Michał Niedbała,              G,  1.93 m,  b. 10 Apr 2006 @ Ostrowiec Świętokrzyski
Dawid Rychta,                 G,  1.92 m,  b. 4 Mar 2006 @ Wołomin
Mateusz Lechowicz,            D,  - ,      b. 4 Mar 2006 @ Poznań
Axel Holewiński,              G,  1.94 m,  b. 22 Feb 2006 @ Opoczno
Kornel Lisman,                M,  1.86 m,  b. 20 Feb 2006 @ Szczecin
Jan Łabędzki,                 M,  - ,      b. 11 Feb 2006
Igor Orlikowski,              D,  - ,      b. 9 Feb 2006 @ Krotoszyn
Jakub Wójcik,                 M,  - ,      b. 6 Feb 2006
Patryk Paryzek,               F,  1.90 m,  b. 3 Feb 2006 @ Poznań
Alan Rybak,                   F,  1.85 m,  b. 1 Feb 2006 @ Warsaw
Michał Gurgul,                D,  - ,      b. 30 Jan 2006 @ Poznań
Mike Huras,                   F,  1.76 m,  b. 28 Jan 2006 @ Waiblingen
Miłosz Piekutowski,           G,  1.89 m,  b. 23 Jan 2006 @ Wysokie Mazowieckie
Szymon Gierlach,              M,  - ,      b. 18 Jan 2006
Michał Jerke,                 G,  - ,      b. 13 Jan 2006 @ Warsaw
Mateusz Mędrala,              G,  - ,      b. 3 Jan 2006

Kamil Cybulski,               M,  1.74 m,  b. 2 Dec 2005 @ Poznań
Szymon Gałązka,               M,  1.78 m,  b. 15 Nov 2005
Bartosz Głogowski,            G,  1.88 m,  b. 29 Oct 2005
Michał Rosiak,                D,  - ,      b. 12 Oct 2005 @ Białogard
Daniel Bąk,                   F,  1.87 m,  b. 10 Oct 2005 @ Będzin
Jakub Lewicki,                D,  1.82 m,  b. 17 Sep 2005 @ Białystok
Filip Przybułek,              M,  1.85 m,  b. 12 Sep 2005 @ Jastrzębie Zdrój
Tomasz Walczak,               F,  1.91 m,  b. 17 Aug 2005 @ Płock
Jakub Wajman,                 D,  - ,      b. 13 Aug 2005 @ Wągrowiec
Szymon Doba,                  F,  1.93 m,  b. 10 Aug 2005 @ Lębork
Norbert Barczak,              M,  1.83 m,  b. 1 Aug 2005 @ Przemyśl
Kacper Terlecki,              M,  1.83 m,  b. 31 Jul 2005
Jakub Snopczyński,            M,  - ,      b. 5 Jul 2005 @ Radom
Dominik Kobus,                D,  1.90 m,  b. 3 Jul 2005 @ Nidzica
Maksymilian Dziuba,           M,  - ,      b. 1 Jul 2005
Damian Wojdakowski,           M,  1.81 m,  b. 24 Jun 2005 @ Białystok
Jan Ziółkowski,               D,  1.94 m,  b. 5 Jun 2005 @ Warsaw
