=================================
=  Portugal

João Afonso,                  G,  1.87 m,  b. 30 Apr 2007

Tomé Sousa,                   G,  - ,      b. 16 Dec 2006 @ Maia
Leo Cardoso,                  M,  - ,      b. 18 Oct 2006 @ Aldama
Samu,                         M,  - ,      b. 15 Sep 2006 @ Almada
Gui,                          G,  - ,      b. 13 May 2006 @ Murça
Cheyenne Loureiro,            F,  - ,      b. 12 Mar 2006 @ Leicester
Saná Fernandes,               F,  1.64 m,  b. 10 Mar 2006 @ Bissau
Rodrigo Duarte,               M,  1.77 m,  b. 7 Feb 2006 @ Guimarães
Diogo Sousa,                  M,  - ,      b. 20 Jan 2006 @ Guimarães
Gonçalo Ribeiro,              G,  1.87 m,  b. 15 Jan 2006 @ Vila Nova de Gaia
Brad de Jesus,                F,  - ,      b. 14 Jan 2006

Ricardinho,                   F,  1.75 m,  b. 27 Dec 2005 @ Mafra
Ricardo Ferreira,             F,  1.78 m,  b. 10 Dec 2005 @ Arouca
Roger Fernandes,              F,  1.70 m,  b. 21 Nov 2005 @ Bissau
Fábio Jaló,                   M,  1.77 m,  b. 18 Nov 2005 @ Lisbon
Dominic Martins,              M,  - ,      b. 13 Oct 2005
Serif Nhaga,                  D,  1.69 m,  b. 1 Sep 2005 @ Bissau
Pedro Borges,                 M,  - ,      b. 23 Jul 2005
Afonso Monteiro,              G,  - ,      b. 27 Jun 2005 @ Lisbon
João Muniz,                   D,  1.87 m,  b. 26 Jun 2005 @ Ribeira Brava
Marco Ribeiro,                M,  - ,      b. 14 Jun 2005 @ Porto
Rodrigo Ribeiro,              F,  1.85 m,  b. 28 Apr 2005 @ Viana do Castelo
João Costa,                   F,  1.78 m,  b. 28 Mar 2005 @ Umuarama
Afonso Moreira,               F,  1.76 m,  b. 19 Mar 2005 @ Lamego
Martim Almeida,               M,  1.82 m,  b. 19 Mar 2005 @ Fátima
Dário Essugo,                 M,  1.79 m,  b. 14 Mar 2005 @ Lisbon
Diogo Monteiro,               D,  1.84 m,  b. 28 Jan 2005 @ Geneva
Vivaldo,                      F,  1.92 m,  b. 28 Jan 2005 @ Luanda

Mathias De Amorim,            M,  1.74 m,  b. 10 Dec 2004 @ Pessac
Gustavo Sá,                   M,  1.86 m,  b. 11 Nov 2004 @ Póvoa de Varzim
Leo Lopes,                    F,  - ,      b. 5 Nov 2004
André Gomes,                  G,  1.82 m,  b. 20 Oct 2004 @ Ponte de Lima
João Neves,                   M,  1.74 m,  b. 27 Sep 2004 @ Tavira
Saja Manafa,                  M,  - ,      b. 5 Sep 2004
Diego Moreira,                F,  1.79 m,  b. 6 Aug 2004 @ Liège
Louis Mouquet,                G,  1.87 m,  b. 21 Jul 2004 @ Bayeux
Mateus Fernandes,             M,  1.78 m,  b. 10 Jul 2004 @ Olhão
Youssef Chermiti,             F,  1.92 m,  b. 24 May 2004 @ Santa Maria
Peixinho,                     F,  1.85 m,  b. 23 May 2004 @ Gondomar
Vasco Sousa,                  D,  1.82 m,  b. 6 Apr 2004 @ Penafiel
Samuel Justo,                 M,  1.78 m,  b. 2 Apr 2004 @ Amadora
Tiago Machado,                F,  1.85 m,  b. 2 Apr 2004 @ Gondomar
Iuri Moreira,                 F,  1.85 m,  b. 24 Mar 2004 @ Amadora
Carlos Forbs,                 F,  1.69 m,  b. 19 Mar 2004 @ Sintra
Rodrigo Melro,                F,  1.77 m,  b. 14 Mar 2004 @ Chaves
Augusto Dabo,                 D,  - ,      b. 13 Mar 2004 @ Bissau
Isaac Monteiro,               D,  1.93 m,  b. 4 Mar 2004 @ Lisbon
Gonçalo Esteves,              D,  1.71 m,  b. 27 Feb 2004 @ Arcos de Valdevez
Martim Marques,               D,  1.73 m,  b. 11 Feb 2004 @ Vila Nova de Gaia
Herculano Nabian,             F,  1.82 m,  b. 25 Jan 2004 @ Bissau
Pablo Felipe,                 F,  1.84 m,  b. 2 Jan 2004 @ Braga

Gilberto Batista,             D,  1.87 m,  b. 29 Dec 2003 @ Bissau
Gonçalo Nogueira,             M,  1.80 m,  b. 28 Dec 2003 @ Guimarães
Mauro Bandeira,               M,  - ,      b. 18 Nov 2003 @ Loures
Martim Tavares,               F,  1.83 m,  b. 10 Nov 2003 @ Porto
Antonio Silva,                D,  1.87 m,  b. 30 Oct 2003 @ Viseu
Guga,                         D,  1.78 m,  b. 23 Oct 2003 @ Lisbon
Alberto Costa,                D,  1.86 m,  b. 29 Sep 2003 @ Santo Tirso
Rafa,                         G,  1.93 m,  b. 28 Sep 2003 @ Guimarães
Luís Mota,                    M,  1.83 m,  b. 25 Sep 2003 @ Lisbon
Guilherme Pio,                F,  1.77 m,  b. 22 Sep 2003 @ Portimão
Berna,                        M,  1.69 m,  b. 15 Sep 2003 @ Porto
Guilherme Montóia,            D,  1.85 m,  b. 14 Sep 2003 @ Lisbon
Miguel Rebelo,                M,  1.85 m,  b. 13 Sep 2003 @ Caldas da Rainha
Tiago Morais,                 F,  1.71 m,  b. 3 Sep 2003 @ Espinho
Miguel Mota,                  D,  1.83 m,  b. 26 Aug 2003 @ Lousada
Andre Simões,                 M,  1.74 m,  b. 17 Aug 2003 @ Braga
Luís Hemir,                   F,  1.92 m,  b. 11 Aug 2003 @ Lisbon
Renato Veiga,                 M,  1.90 m,  b. 29 Jul 2003 @ Lisbon
Miguel Monteiro,              F,  1.87 m,  b. 24 Jul 2003 @ Guimarães
