=================================
=  Serbia

Matija Popović,               M,  1.93 m,  b. 8 Jan 2006 @ Altötting

Aleksandar Stanković,         M,  1.85 m,  b. 3 Aug 2005 @ Milan
Jovan Milošević,              F,  1.92 m,  b. 31 Jul 2005 @ Čačak
Jan-Carlo Simić,              D,  1.86 m,  b. 2 May 2005 @ Nürtingen
Milan Majstorović,            D,  1.85 m,  b. 21 Feb 2005 @ Novi Sad
Marko Mladenović,             M,  1.74 m,  b. 30 Jan 2005 @ Nürtingen

Mihailo Ivanović,             F,  - ,      b. 29 Nov 2004 @ Novi Sad
Nikola Zečević,               D,  1.90 m,  b. 16 Jun 2004 @ Kraljevo
Mateja Milovanović,           D,  1.81 m,  b. 18 Apr 2004 @ Vlaardingen
Stefan Melentijević,          D,  1.89 m,  b. 20 Mar 2004 @ Herceg Novi
Lazar Žaknić,                 D,  1.92 m,  b. 16 Mar 2004 @ Belgrade
Aleksa Todorović,             G,  1.93 m,  b. 25 Jan 2004 @ Kruševac
Marko Lazetić,                F,  1.90 m,  b. 22 Jan 2004 @ Belgrade
Stefan Leković,               D,  1.92 m,  b. 9 Jan 2004 @ Belgrade
Uroš Kabić,                   F,  1.83 m,  b. 1 Jan 2004 @ Novi Sad

Nikola Jojić,                 M,  - ,      b. 15 Sep 2003 @ Čačak
Goran Babić,                  M,  - ,      b. 10 Sep 2003 @ Hammersmith
Petar Ratkov,                 F,  1.93 m,  b. 18 Aug 2003 @ Belgrade
Marko Milovanović,            F,  1.96 m,  b. 4 Aug 2003 @ Smederevo
Ognjen Radošević,             M,  - ,      b. 1 Aug 2003
Srdjan Hrstić,                F,  1.92 m,  b. 18 Jul 2003 @ Sombor
Mihajlo Ilić,                 D,  1.92 m,  b. 4 Jul 2003 @ Jagodina
Nemanja Krsmanović,           D,  1.81 m,  b. 9 May 2003 @ Šabac
Nemanja Motika,               F,  1.79 m,  b. 20 Mar 2003 @ Berlin
Uroš Lazić,                   D,  1.74 m,  b. 15 Mar 2003 @ Niš

Uroš Drezgić,                 D,  1.90 m,  b. 4 Oct 2002 @ Šabac
Filip Stevanović,             F,  1.77 m,  b. 25 Sep 2002 @ Arilje
Dejan Tetek,                  M,  1.81 m,  b. 24 Sep 2002 @ Oxford
Stefan Mitrović,              F,  1.81 m,  b. 15 Aug 2002 @ Kruševac
Nemanja Jović,                F,  1.78 m,  b. 8 Aug 2002 @ Zvornik
Dennis Stojković,             M,  1.75 m,  b. 3 Aug 2002
Lazar Mirković,               D,  1.92 m,  b. 27 Jul 2002 @ Trstenik
Branislav Knežević,           M,  1.83 m,  b. 21 Jul 2002 @ Šabac
Vladimir Prijović,            D,  1.85 m,  b. 26 Jun 2002 @ Priboj
Milan Kremenović,             D,  1.91 m,  b. 8 Mar 2002 @ Berlin
Filip Stanković,              G,  1.86 m,  b. 25 Feb 2002 @ Rome
Lazar Samardžić,              M,  1.84 m,  b. 24 Feb 2002 @ Berlin
Luka Simić,                   M,  1.72 m,  b. 4 Jan 2002 @ Thiene

Marko Ivezić,                 M,  1.91 m,  b. 2 Dec 2001 @ Belgrade
Aleksandar Ćirković,          F,  1.80 m,  b. 21 Sep 2001 @ Smederevska Palanka
Nikola Bursać,                G,  1.91 m,  b. 11 Sep 2001 @ Toronto
Nikola Stajić,                D,  1.82 m,  b. 8 Sep 2001 @ Paraćin
Nikola Štulić,                F,  1.88 m,  b. 8 Sep 2001 @ Sremska Mitrovica
Strahinja Pavlović,           D,  1.94 m,  b. 24 May 2001 @ Šabac
Dragoljub Savić,              M|F,1.73 m,  b. 25 Apr 2001 @ Novi Sad
Vladimir Arsić,               D,  1.92 m,  b. 20 Apr 2001 @ Banja Luka
Luka Bijelović,               F,  1.88 m,  b. 11 Apr 2001 @ Subotica
Kristijan Belić,              M,  1.77 m,  b. 25 Mar 2001 @ Sint-Truiden
Danilo Mitrović,              D,  1.82 m,  b. 23 Mar 2001 @ Novi Sad
Ivan Ilić,                    M,  1.85 m,  b. 17 Mar 2001 @ Niš
Njegoš Kupusović,             F,  1.79 m,  b. 22 Feb 2001 @ St Petersburg
Mirko Topić,                  M,  1.90 m,  b. 5 Feb 2001 @ Novi Sad
Strahinja Eraković,           D,  1.86 m,  b. 22 Jan 2001 @ Belgrade
Bogdan Jočić,                 M,  1.81 m,  b. 11 Jan 2001 @ Belgrade

Željko Gavrić,                M,  1.81 m,  b. 5 Dec 2000 @ Ugljevik
Uroš Milovanović,             F,  1.87 m,  b. 18 Oct 2000 @ Duisburg
Filip Antonijević,            D,  1.75 m,  b. 24 Jul 2000 @ Belgrade
Dimitrije Kamenović,          D,  1.88 m,  b. 16 Jul 2000 @ Pirot
Armin Djerlek,                M,  1.73 m,  b. 15 Jul 2000 @ Novi Pazar
Amir Saipi,                   G,  1.92 m,  b. 8 Jul 2000 @ Schaffhausen
