=================================
=  Slovenia

David Pejičić,                M,  1.76 m,  b. 14 Jun 2007

Lovro Golič,                  D,  1.95 m,  b. 5 Mar 2006 @ Celje
Antonio Baždarić,             M,  - ,      b. 8 Jan 2006 @ Ljubljana

Miha Trdan,                   M,  1.86 m,  b. 12 Apr 2005 @ Ljubljana

Enej Marsetič,                F,  - ,      b. 4 Dec 2004 @ Izola
Anel Zulić,                   D,  1.92 m,  b. 7 Nov 2004 @ Ljubljana
Lovro Štubljar,               G,  1.92 m,  b. 9 Aug 2004 @ Novo Mesto
Matjaž Kamenšek-Pahič,        D|M,1.89 m,  b. 4 Jul 2004 @ Maribor
Bor Žunec,                   M,  1.78 m,  b. 1 Mar 2004
David Bersnjak,               D,  1.97 m,  b. 9 Feb 2004 @ Celje
Srdjan Kuzmić,                D,  1.83 m,  b. 16 Jan 2004

Martin Turk,                  G,  1.87 m,  b. 21 Aug 2003 @ Koper
Tjaš Begić,                   F,  1.75 m,  b. 30 Jun 2003 @ Izola
Benjamin Šeško,               F,  1.94 m,  b. 31 May 2003 @ Radeče
Tio Cipot,                    F,  1.76 m,  b. 20 Apr 2003 @ Murska Sobota

Žan Luk Leban,                G,  - ,      b. 15 Dec 2002
Žiga Laci,                    D,  1.89 m,  b. 20 Jul 2002 @ Murska Sobota
Martin Pečar,                 M,  1.75 m,  b. 5 Jul 2002 @ Izola
Enrik Ostrc,                  M,  1.87 m,  b. 21 Jun 2002 @ Postojna
Amir Feratovič,               D,  1.89 m,  b. 8 Jun 2002 @ Ljubljana
Klemen Hvalič,                G,  1.95 m,  b. 18 Apr 2002 @ Ljubljana
Žan Vipotnik,                 F,  1.85 m,  b. 18 Mar 2002 @ Celje
Matevž Dajčar,                G,  1.90 m,  b. 5 Feb 2002
David Flakus Bosilj,          F,  1.85 m,  b. 1 Feb 2002 @ Maribor
Altin Kryeziu,                M,  1.83 m,  b. 3 Jan 2002 @ Kranj

Nik Prelec,                   F,  1.86 m,  b. 10 Jun 2001 @ Maribor
Abel Marc,                    M,  1.72 m,  b. 19 Apr 2001
Jošt Urbančič,                D,  1.75 m,  b. 12 Apr 2001 @ Ljubljana

