=================================
=  Canada

Antoni Klukowski,             F,  1.85 m,  b. 2 Apr 2007 @ Lille

Luc De Fougerolles,           D,  - ,      b. 12 Oct 2005

Jamie Knight-Lebel,           D,  1.88 m,  b. 24 Dec 2004 @ La Pocatière
Nathaniel Noel,               D,  - ,      b. 14 Jan 2004 @ Toronto

Justin Smith,                 D,  1.89 m,  b. 4 Feb 2003 @ Paris
Kosi Thompson,                M,  1.78 m,  b. 27 Jan 2003 @ Toronto

Aribim Pepple,                F,  1.85 m,  b. 25 Dec 2002 @ Kettering
Malik Owolabi-Belewu,         D,  1.88 m,  b. 3 Jul 2002 @ Greenwich
Ismaël Koné,                  M,  1.88 m,  b. 6 Jun 2002 @ Abidjan
Theo Corbeanu,                F,  1.87 m,  b. 17 May 2002 @ Burlington
Damiano Pecile,               M,  1.83 m,  b. 11 Apr 2002 @ Burnaby
Simon Colyn,                  F,  1.75 m,  b. 23 Mar 2002 @ Langley
Amir Batyrev,                 M,  1.73 m,  b. 11 Mar 2002 @ Toronto

Victor Loturi,                M,  1.73 m,  b. 21 May 2001 @ Calgary

Alphonso Davies,              D|F,1.83 m,  b. 2 Nov 2000 @ Buduburam
Ben Paton,                    M,  1.76 m,  b. 24 Aug 2000 @ Kitchener
Julian Dunn,                  D,  1.88 m,  b. 11 Jul 2000 @ Toronto
Steven Simpson,               F,  - ,      b. 5 Apr 2000
Jonathan David,               F,  1.77 m,  b. 14 Jan 2000 @ Brooklyn
Axel Desjardins,              G,  1.88 m,  b. 13 Jan 2000 @ Montreal

Belal Halbouni,               D,  1.88 m,  b. 30 Dec 1999 @ London, ON
Liam Millar,                  F,  1.76 m,  b. 27 Sep 1999 @ Toronto
Theo Bair,                    F,  1.93 m,  b. 27 Aug 1999 @ Ottawa
Clément Bayiha,               D,  1.73 m,  b. 3 Mar 1999 @ Yaoundé
Tajon Buchanan,               F,  1.83 m,  b. 8 Feb 1999 @ Brampton

Matthew Durrans,              F,  1.82 m,  b. 10 Dec 1998 @ Vancouver
Diyaeddine Abzi,              D,  1.83 m,  b. 23 Nov 1998 @ Fès
Gloire Amanda,                F,  1.80 m,  b. 11 Nov 1998 @ Nyarugusu
Patrick Metcalfe,             M,  1.83 m,  b. 11 Nov 1998 @ Vancouver
Alistair Johnston,            D,  1.80 m,  b. 8 Oct 1998 @ Vancouver
Iké Ugbo,                     F,  1.86 m,  b. 21 Sep 1998 @ Lewisham
Richlord Ennin,               F,  1.82 m,  b. 17 Sep 1998 @ Toronto
Kosovar Sadiki,               D,  - ,      b. 27 Aug 1998 @ Moers
David Norman Jr,              D,  1.88 m,  b. 31 May 1998 @ New Westminster
Harry Paton,                  M,  1.75 m,  b. 23 May 1998 @ Kitchener
Sebastian Breza,              G,  1.96 m,  b. 15 Mar 1998 @ Ottawa
Liam Fraser,                  M,  1.85 m,  b. 13 Feb 1998 @ Toronto

Fikayo Tomori,                D,  1.84 m,  b. 19 Dec 1997 @ Calgary
Derek Cornelius,              D,  1.88 m,  b. 25 Nov 1997 @ Ajax
