=================================
=  Paraguay

Enso González,                F,  1.69 m,  b. 20 Jan 2005 @ Asunción
Hugo Cuenca,                  M,  1.83 m,  b. 8 Jan 2005 @ Coronel Oviedo

Julio Enciso,                 F,  1.77 m,  b. 23 Jan 2004 @ Caaguazú

Diego González,               F,  1.77 m,  b. 7 Jan 2003 @ Alto Paraná
Matías Segovia,               F,  1.65 m,  b. 4 Jan 2003 @ Caaguazú

Diego Acosta,                 F,  1.75 m,  b. 12 Nov 2002 @ Minga Guazú

Braian Ojeda,                 M,  1.72 m,  b. 27 Jun 2000 @ Itauguá
Roberto Fernández,            D,  1.88 m,  b. 7 Jun 2000 @ Concepción
Alexis Duarte,                D,  1.86 m,  b. 12 Mar 2000 @ Itauguá

Isidro Pitta,                 F,  1.83 m,  b. 14 Aug 1999 @ Asunción

Julio Villalba,               F,  1.74 m,  b. 17 Sep 1998 @ Ciudad del Este
Santiago Arzamendia,          D,  1.72 m,  b. 5 May 1998 @ Wanda
Sergio Díaz,                  M,  1.70 m,  b. 5 Mar 1998 @ Itauguá
Blas Riveros,                 D,  1.78 m,  b. 3 Feb 1998 @ Itauguá
Jorge Morel,                  M,  1.84 m,  b. 22 Jan 1998 @ Asunción
David Martínez,               D,  1.82 m,  b. 21 Jan 1998 @ Capital Federal

Jesús Medina,                 F,  1.77 m,  b. 30 Apr 1997 @ Limpio
Mathias Villasanti,           M,  1.78 m,  b. 24 Jan 1997 @ Caacupé

Omar Alderete,                D,  1.87 m,  b. 26 Dec 1996 @ Asunción
Adam Bareiro,                 F,  1.84 m,  b. 26 Jul 1996 @ Asunción
Andrés Cubas,                 M,  1.65 m,  b. 22 May 1996 @ Aristóbulo del Valle
Robert Rojas,                 D,  1.76 m,  b. 30 Apr 1996 @ Concepción
Richard Sánchez,              M,  1.70 m,  b. 29 Mar 1996 @ Asunción
Antonio Sanabria,             F,  1.80 m,  b. 4 Mar 1996 @ San Lorenzo

Braian Samudio,               F,  1.80 m,  b. 23 Dec 1995 @ Ciudad del Este
Matías Rojas,                 M,  1.86 m,  b. 3 Nov 1995 @ Asunción
Juan Escobar,                 D,  1.76 m,  b. 3 Jul 1995 @ Luque
Walter González,              F,  1.85 m,  b. 21 May 1995 @ Doctor Juan León Mallorquín
Alejandro Romero Gamarra,     M,  1.77 m,  b. 11 Jan 1995 @ Ciudadela

Ángel Cardozo Lucena,         M,  1.74 m,  b. 19 Oct 1994 @ Santa Rosa de Lima
Mauro Caballero,              F,  1.80 m,  b. 8 Oct 1994 @ Asunción
Cecilio Domínguez,            M,  1.79 m,  b. 11 Aug 1994 @ San Lorenzo (PAR)
Robert Piris Da Motta,        M,  1.78 m,  b. 26 Jul 1994 @ Ciudad del Este
Derlis González,              M|F,1.72 m,  b. 23 Mar 1994 @ Mariano Roque Alonso
Miguel Almirón,               M,  1.77 m,  b. 1 Feb 1994 @ Asunción

Gustavo Gómez,                D,  1.86 m,  b. 6 Jun 1993 @ Misiones
Juan Manuel Iturbe,           F,  1.72 m,  b. 4 Jun 1993 @ Capital Federal
Júnior Alonso,                D,  1.85 m,  b. 9 Feb 1993 @ Asunción
Carlos González,              F,  1.82 m,  b. 4 Feb 1993 @ Villarrica

Bruno Valdez,                 D,  1.79 m,  b. 6 Oct 1992 @ Villa Hayes
